simulationTime[s],averageTransferToInterventionDuration[s],averageTransferToFiringDuration[s],City,averageTransferToInterventionDuration[min],averageTransferToFiringDuration[min],averageTransferToIncidents[min],simulationTime[s],amountOfInterventions,interventionsDuration[min],averageInterventionDuration[min],amountOfFirings,firingsDuration[min],averageFiringDuration[min],City,firingsDuration[h],interventionsDuration[h],averageFiringDuration[h],averageInterventionDuration[h],amountOfIncidents
3600,343.6842105263158,167.33333333333334,Berlin,5.728070175438597,2.788888888888889,8.516959064327486,3602,19.0,398.0,20.94736842105263,3.0,233.0,77.66666666666667,Berlin,3.8833333333333333,6.633333333333334,1.2944444444444445,0.34912280701754383,22.0
7204,206.57142857142856,290.0,Berlin,3.4428571428571426,4.833333333333333,8.276190476190475,7205,21.0,419.0,19.952380952380956,1.0,84.0,84.0,Berlin,1.4,6.983333333333333,1.4,0.3325396825396826,22.0
10802,181.6,127.5,Berlin,3.0266666666666664,2.125,5.151666666666666,10811,20.0,421.0,21.05,6.0,350.0,58.333333333333336,Berlin,5.833333333333333,7.016666666666667,0.9722222222222222,0.35083333333333333,26.0
14400,256.0,386.0,Berlin,4.266666666666667,6.433333333333334,10.7,14401,17.0,331.0,19.47058823529412,4.0,229.0,57.25,Berlin,3.816666666666667,5.516666666666667,0.9541666666666667,0.32450980392156864,21.0
18000,169.07692307692307,632.0,Berlin,2.8179487179487177,10.533333333333333,13.351282051282052,18000,13.0,241.0,18.53846153846154,1.0,30.0,30.0,Berlin,0.5,4.016666666666667,0.5,0.308974358974359,14.0
21601,189.0,1010.0,Berlin,3.15,16.833333333333332,19.98333333333333,21600,15.0,304.0,20.266666666666666,1.0,76.0,76.0,Berlin,1.2666666666666666,5.066666666666666,1.2666666666666666,0.3377777777777778,16.0
25200,178.8,364.0,Berlin,2.98,6.066666666666666,9.046666666666667,25200,16.0,343.0,21.4375,2.0,153.0,76.5,Berlin,2.55,5.716666666666667,1.275,0.3572916666666667,18.0
28800,152.33333333333334,0.0,Berlin,2.538888888888889,0.0,2.538888888888889,28800,12.0,207.0,17.25,0.0,0.0,0.0,Berlin,0.0,3.45,0.0,0.2875,12.0
32400,192.85,198.5,Berlin,3.2141666666666664,3.308333333333333,6.522499999999999,32400,20.0,431.0,21.55,2.0,99.0,49.5,Berlin,1.65,7.183333333333334,0.825,0.3591666666666667,22.0
36002,211.88888888888889,0.0,Berlin,3.531481481481481,0.0,3.531481481481481,36002,18.0,376.0,20.88888888888889,1.0,79.0,79.0,Berlin,1.3166666666666667,6.266666666666667,1.3166666666666667,0.34814814814814815,19.0
39600,239.0625,481.5,Berlin,3.984375,8.025,12.009375,39600,16.0,311.0,19.4375,2.0,159.0,79.5,Berlin,2.65,5.183333333333334,1.325,0.32395833333333335,18.0
43200,263.5217391304348,343.75,Berlin,4.392028985507247,5.729166666666667,10.121195652173913,43202,23.0,492.0,21.39130434782609,4.0,297.0,74.25,Berlin,4.95,8.2,1.2375,0.35652173913043483,27.0
46801,210.4705882352941,227.66666666666663,Berlin,3.5078431372549015,3.794444444444444,7.302287581699345,46800,17.0,343.0,20.176470588235293,3.0,192.0,64.0,Berlin,3.2,5.716666666666667,1.0666666666666667,0.33627450980392154,20.0
50401,274.4117647058824,531.0,Berlin,4.5735294117647065,8.85,13.423529411764706,50401,17.0,361.0,21.235294117647054,2.0,123.0,61.5,Berlin,2.05,6.016666666666667,1.025,0.3539215686274509,19.0
54000,178.83333333333334,313.0,Berlin,2.9805555555555556,5.216666666666667,8.197222222222223,54000,18.0,336.0,18.666666666666668,0.0,0.0,0.0,Berlin,0.0,5.6,0.0,0.3111111111111111,18.0
57600,148.64285714285714,690.0,Berlin,2.4773809523809525,11.5,13.977380952380953,57600,14.0,267.0,19.071428571428573,2.0,158.0,79.0,Berlin,2.6333333333333333,4.45,1.3166666666666667,0.3178571428571429,16.0
61200,313.0,201.33333333333331,Berlin,5.216666666666667,3.355555555555555,8.572222222222223,61203,16.0,301.0,18.8125,3.0,207.0,69.0,Berlin,3.45,5.016666666666667,1.15,0.31354166666666666,19.0
64801,262.1666666666667,884.0,Berlin,4.3694444444444445,14.733333333333333,19.102777777777778,64800,18.0,408.0,22.666666666666668,1.0,73.0,73.0,Berlin,1.2166666666666666,6.8,1.2166666666666666,0.3777777777777778,19.0
68400,160.05,480.0,Berlin,2.6675,8.0,10.6675,68400,20.0,442.0,22.1,2.0,155.0,77.5,Berlin,2.5833333333333335,7.366666666666666,1.2916666666666667,0.36833333333333335,22.0
72000,232.0,259.75,Berlin,3.8666666666666667,4.329166666666667,8.195833333333333,72000,20.0,428.0,21.4,4.0,293.0,73.25,Berlin,4.883333333333334,7.133333333333334,1.2208333333333334,0.35666666666666663,24.0
75601,166.2941176470588,363.0,Berlin,2.7715686274509803,6.05,8.82156862745098,75604,17.0,337.0,19.823529411764707,3.0,190.0,63.333333333333336,Berlin,3.1666666666666665,5.616666666666666,1.0555555555555556,0.3303921568627451,20.0
79201,198.7826086956522,388.6,Berlin,3.31304347826087,6.4766666666666675,9.789710144927538,79202,23.0,463.0,20.130434782608692,5.0,368.0,73.6,Berlin,6.133333333333334,7.716666666666667,1.2266666666666666,0.3355072463768115,28.0
82802,223.6296296296296,286.5,Berlin,3.7271604938271596,4.775,8.50216049382716,82801,27.0,596.0,22.074074074074076,6.0,408.0,68.0,Berlin,6.8,9.933333333333334,1.1333333333333333,0.36790123456790125,33.0
