"simulationTime[s]","patrolState","timeInState[s]"
362,PATROLLING,361.0
459,CALCULATING_PATH,97.0
477,PATROLLING,18.0
490,CALCULATING_PATH,12.0
541,TRANSFER_TO_INTERVENTION,51.0
1502,INTERVENTION,961.0
1518,CALCULATING_PATH,16.0
1756,PATROLLING,237.0
1774,CALCULATING_PATH,15.0
2286,PATROLLING,512.0
2389,CALCULATING_PATH,98.0
2942,PATROLLING,549.0
2955,CALCULATING_PATH,13.0
3405,PATROLLING,450.0
3423,CALCULATING_PATH,17.0
3623,PATROLLING,200.0
3634,CALCULATING_PATH,11.0
3724,TRANSFER_TO_INTERVENTION,90.0
4914,INTERVENTION,1190.0
4925,CALCULATING_PATH,11.0
5416,PATROLLING,491.0
5427,CALCULATING_PATH,11.0
5773,PATROLLING,346.0
5783,CALCULATING_PATH,10.0
6032,PATROLLING,249.0
6043,CALCULATING_PATH,11.0
6435,PATROLLING,392.0
6446,CALCULATING_PATH,11.0
6825,PATROLLING,379.0
6836,CALCULATING_PATH,11.0
6946,PATROLLING,110.0
6958,CALCULATING_PATH,12.0
7001,TRANSFER_TO_INTERVENTION,43.0
