"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
4307,06464019-bdf0-4785-a4b7-1b14bb4281e5,Grabówka,RatherSafe,PATROLLING,1,"371,7923948049294",0
4561,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"1488,777948737134",0
4562,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"1778,770891344589",0
4564,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"2190,4047360120685",0
4565,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"2193,7071729093527",0
4566,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"1225,9384727445563",0
4567,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"2029,6943258113488",0
4568,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,PATROLLING,2,"1703,1216567343724",0
4843,0e58596c-7d2f-4c66-949e-6455be62ea80,Krakowska,RatherSafe,PATROLLING,1,"904,4181750368341",0
4844,0e58596c-7d2f-4c66-949e-6455be62ea80,Krakowska,RatherSafe,PATROLLING,1,"528,3128514732886",0
