"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
466,37093dae-e403-4ae6-9b8a-fd6829ea974e,Jasna,RatherSafe,"518,3177386333499"
1174,820cc553-f894-485c-95a8-52380da5bfc3,Strusina,RatherSafe,"406,3446867407819"
1255,288b1277-0b5a-48ce-9151-018e62c7f51e,Chyszów,RatherSafe,"1056,8865582238768"
1355,7bd4ea5d-b99e-43ba-b79c-de23dc8ca1cf,Klikowa,RatherSafe,"1260,6652020581762"
1357,1d4a0ab8-a282-469f-a4e9-4dcd00c41125,Piaskówka,RatherSafe,"410,64997870590537"
1694,1b427aa3-7fc2-48f7-b5ec-ee5a5bb2d5f4,Krzy¿,RatherSafe,"740,5511239069191"
2019,be0082a9-db2a-44bc-96a4-d2765cd766fb,Strusina,RatherSafe,"1104,1203389012192"
2320,8a79b7a6-62dc-4a38-99da-c9a5e6d46c01,Piaskówka,RatherSafe,"571,0121150121563"
2667,0f60f3a0-e8c9-4f29-9d79-9daa7a21f28f,Klikowa,RatherSafe,"1859,5868913195754"
2695,51413711-5ca6-44dd-8490-bbadbdf37ff1,Legionów Henryka D¹browskiego,RatherSafe,"533,2465250043846"
2768,33cbea5a-90d1-48af-9c88-d36a906570ed,Moœcice,RatherSafe,"647,3469653127125"
2810,d71ef035-1936-4e36-a347-313d072444c6,Gumniska-Zab³ocie,RatherSafe,"1983,4793508197874"
2899,193184fb-afd5-4e53-8f50-04b4c148054c,Klikowa,RatherSafe,"692,5634514418772"
2943,d08f6c46-d07b-48b4-90e1-abe056fa4c88,Krzy¿,RatherSafe,"86,98495597254215"
3039,b213cd12-de37-4ab5-9cf8-70369f940213,Moœcice,RatherSafe,"1138,6060658161825"
3075,ef648140-0259-4b07-9c19-92eb61fe272c,Strusina,RatherSafe,"1008,9748880118732"
3315,abeac88d-8f33-4a65-927d-113594f31c9c,Moœcice,RatherSafe,"1644,5161931242137"
3408,7eaa2741-05b2-4cfd-8a0e-203f96f8bc5d,Piaskówka,RatherSafe,"455,034494745678"
3524,2725a832-33da-4055-b074-9c2ebf818a39,Koszyce,RatherSafe,"2340,9006353486006"
3612,afb160f0-47a7-4812-aa9f-5a0769482e8c,Strusina,RatherSafe,"1116,791691815379"
3702,756d4363-ae29-412d-b6b6-de1cda2257cf,Grabówka,RatherSafe,"876,5236005123602"
3746,c8286db7-a17d-42ac-b1cc-5c4a464f933f,Moœcice,RatherSafe,"559,382983323907"
3757,0c1ede69-b774-4cc5-b1d0-85dce2291748,Piaskówka,RatherSafe,"408,51949631276767"
4096,a4026d2f-89f8-4be5-81c0-28d8cd3b38a0,Jasna,RatherSafe,"582,2184777186344"
4307,06464019-bdf0-4785-a4b7-1b14bb4281e5,Grabówka,RatherSafe,"371,7923948049294"
4353,b6b9f1d9-6e48-4d0c-98f2-d47a7b2cc423,Gumniska-Zab³ocie,Safe,"2126,6108394211174"
4517,4eb30a22-0f7d-47c1-a3c1-c2882292a0c9,Krakowska,RatherSafe,"824,5450145476177"
4562,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"1488,777948737134"
4563,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"1778,770891344589"
4564,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"2190,4047360120685"
4566,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"2193,7071729093527"
4567,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"1225,9384727445563"
4568,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"2029,6943258113488"
4569,c9bc8f4c-e9b3-4673-a1dc-e1229824cdbe,Jasna,RatherSafe,"1703,1216567343724"
4606,ffe14799-a6c7-4f5d-ae7f-db10148a52cf,Moœcice,RatherSafe,"772,5322331469299"
4821,cf423988-286b-4e6e-b587-d60d4c232061,Chyszów,RatherSafe,"1874,4186774019656"
4843,0e58596c-7d2f-4c66-949e-6455be62ea80,Krakowska,RatherSafe,"904,4181750368341"
4845,0e58596c-7d2f-4c66-949e-6455be62ea80,Krakowska,RatherSafe,"528,3128514732886"
4858,90e065df-0841-46f5-a302-524f3ff187da,Chyszów,RatherSafe,"2118,7526960237446"
4947,f53be6ff-7c4c-4ece-bc94-13cacbb28774,Koszyce,NotSafe,"972,1467516026437"
5144,93ade0b7-a428-4dbd-828c-8d804fc98aac,Strusina,RatherSafe,"619,028632046434"
5199,a4cced6e-cfa0-4766-beae-bc863fdf1d03,Piaskówka,RatherSafe,"571,5553223438098"
5306,41e71213-bc21-4b7b-9554-c7830ba15b4e,Moœcice,RatherSafe,"1147,7929263388307"
5318,d2f88db8-bd72-4c2a-8cc8-11b5ddb735fb,Chyszów,RatherSafe,"727,0744915764785"
5329,017016d8-79c4-456f-a9a5-fd06476a95c7,Krzy¿,RatherSafe,"1014,995614327598"
5472,9114dbcc-2db4-410e-bf96-fd6dff3d7cc4,Zielone,RatherSafe,"1552,9287258588097"
6413,75b7272f-4219-473e-98e8-36282e1dc88a,Legionów Henryka D¹browskiego,RatherSafe,"858,5305725704054"
6468,91ea1781-ad39-47f2-9d67-eb664698dd8c,Krakowska,RatherSafe,"634,1611307227349"
6491,bc456cfd-f297-4211-ac04-e2cfab4e9430,Jasna,RatherSafe,"1126,2794967508717"
6513,ed9b1c7f-32ca-4cf6-bd0c-c3643bf4044d,Krzy¿,RatherSafe,"1495,0024406958923"
6933,b57ee96a-142b-4e62-af80-a0e724cecc89,Gumniska-Zab³ocie,RatherSafe,"1174,264620895237"
6934,8cacc97a-af2c-49cc-af27-19d811d79504,Grabówka,RatherSafe,"371,49921725094157"
6959,457e71f1-96e4-4df3-a63e-0ddd94460b37,Zielone,RatherSafe,"379,40759543034443"
7002,04f6c1a7-2820-4548-9fa1-e3dc60dc3a7e,Grabówka,RatherSafe,"738,1762295328334"
7182,16aa2082-a838-440f-a144-5ded1ab09598,Jasna,RatherSafe,"1188,967913241987"
7239,a5af2ab3-b468-48f0-b150-7953ae4a0554,Klikowa,RatherSafe,"1177,5564500252574"
7251,d0da9869-c4ca-4636-b772-0ad8a8e75ce7,Gumniska-Zab³ocie,RatherSafe,"1808,452444700536"
7393,12336b48-c2aa-42f5-b819-32ad91969ad1,Legionów Henryka D¹browskiego,RatherSafe,"1102,9194947498236"
7405,f0208fa6-af6c-4503-9f5e-a6d086530278,Strusina,RatherSafe,"966,1990499056511"
