"simulationTime[s]","patrolState","timeInState[s]"
310,PATROLLING,310.0
342,CALCULATING_PATH,32.0
404,PATROLLING,49.0
432,CALCULATING_PATH,28.0
800,TRANSFER_TO_INTERVENTION,368.0
1637,INTERVENTION,837.0
1678,CALCULATING_PATH,41.0
2288,PATROLLING,610.0
2322,CALCULATING_PATH,34.0
2525,PATROLLING,202.0
2551,CALCULATING_PATH,21.0
2698,TRANSFER_TO_INTERVENTION,147.0
3969,INTERVENTION,1263.0
3980,CALCULATING_PATH,11.0
4399,PATROLLING,419.0
4410,CALCULATING_PATH,11.0
4967,PATROLLING,557.0
4977,CALCULATING_PATH,10.0
5311,PATROLLING,334.0
5322,CALCULATING_PATH,11.0
5613,PATROLLING,291.0
5625,CALCULATING_PATH,12.0
6037,PATROLLING,412.0
6048,CALCULATING_PATH,11.0
6143,PATROLLING,95.0
6154,CALCULATING_PATH,11.0
6382,PATROLLING,228.0
6392,CALCULATING_PATH,10.0
6464,TRANSFER_TO_INTERVENTION,72.0
7941,INTERVENTION,1477.0
7952,CALCULATING_PATH,11.0
8174,PATROLLING,222.0
8185,CALCULATING_PATH,11.0
8679,PATROLLING,494.0
8690,CALCULATING_PATH,11.0
8840,PATROLLING,150.0
8852,CALCULATING_PATH,12.0
9432,PATROLLING,580.0
9443,CALCULATING_PATH,11.0
10246,PATROLLING,803.0
10256,CALCULATING_PATH,10.0
10320,TRANSFER_TO_INTERVENTION,64.0
11341,INTERVENTION,1021.0
11351,CALCULATING_PATH,10.0
11925,PATROLLING,574.0
11937,CALCULATING_PATH,12.0
12000,PATROLLING,63.0
12012,CALCULATING_PATH,12.0
12086,TRANSFER_TO_INTERVENTION,74.0
13207,INTERVENTION,1121.0
13217,CALCULATING_PATH,10.0
13482,PATROLLING,265.0
13493,CALCULATING_PATH,11.0
13548,PATROLLING,55.0
13558,CALCULATING_PATH,10.0
13623,TRANSFER_TO_INTERVENTION,65.0
14991,INTERVENTION,1368.0
15001,CALCULATING_PATH,10.0
15275,PATROLLING,274.0
15286,CALCULATING_PATH,11.0
15338,PATROLLING,52.0
15350,CALCULATING_PATH,12.0
15436,TRANSFER_TO_INTERVENTION,86.0
17217,INTERVENTION,1781.0
17228,CALCULATING_PATH,11.0
17366,PATROLLING,138.0
17377,CALCULATING_PATH,11.0
17434,TRANSFER_TO_INTERVENTION,57.0
18404,INTERVENTION,970.0
18415,CALCULATING_PATH,11.0
18965,PATROLLING,550.0
18976,CALCULATING_PATH,11.0
19745,PATROLLING,769.0
19756,CALCULATING_PATH,11.0
19931,PATROLLING,175.0
19942,CALCULATING_PATH,11.0
20527,PATROLLING,585.0
20537,CALCULATING_PATH,10.0
21198,PATROLLING,661.0
21209,CALCULATING_PATH,11.0
21571,PATROLLING,362.0
21582,CALCULATING_PATH,11.0
21604,PATROLLING,22.0
21615,CALCULATING_PATH,11.0
21840,TRANSFER_TO_INTERVENTION,225.0
22908,INTERVENTION,1068.0
22919,CALCULATING_PATH,11.0
23283,PATROLLING,364.0
23294,CALCULATING_PATH,11.0
23357,TRANSFER_TO_INTERVENTION,63.0
23823,INTERVENTION,466.0
27233,FIRING,3410.0
27245,PATROLLING,12.0
27257,CALCULATING_PATH,12.0
27556,PATROLLING,299.0
27631,TRANSFER_TO_FIRING,75.0
30307,FIRING,2676.0
30319,PATROLLING,12.0
30330,CALCULATING_PATH,11.0
30629,RETURNING_TO_HQ,299.0
33608,FIRING,2979.0
33620,PATROLLING,12.0
33632,CALCULATING_PATH,12.0
34299,RETURNING_TO_HQ,667.0
