"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"2,20,18,0,0,0,0"
"19,18,16,13,13,0,0"
"18,15,16,7,5,0,0"
"14,17,19,4,1,0,0"
"19,17,16,8,12,0,1"
"16,20,19,10,9,0,0"
"10,14,13,6,5,0,0"
"13,17,17,7,6,0,0"
"9,19,14,9,12,31,0"
"22,15,19,5,5,8,0"
"17,30,25,13,9,0,0"
"18,10,12,1,2,0,0"
"13,15,16,0,0,0,0"
"9,14,11,5,5,0,0"
"16,18,19,5,1,0,0"
"16,24,17,5,9,0,0"
"16,28,25,18,15,32,0"
"12,14,12,13,14,4,0"
"11,14,14,11,11,4,0"
"14,26,26,4,4,0,0"
"17,20,12,14,14,0,0"
"18,17,20,10,9,0,0"
"11,19,13,17,16,0,0"
