"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
105,Mitte,Safe,0b1cb2dc-c714-4e8c-b3ff-cd103abdd837, ,PATROLLING,0
106,Mitte,Safe,760de6da-4861-4271-8e06-ced8d76f14a0, ,PATROLLING,0
107,Mitte,Safe,81c54f4e-22a1-4931-bb56-8e7bdb4c0b62, ,PATROLLING,0
109,Mitte,Safe,71106ffe-58d4-4d3e-8518-821ec63ac3fe, ,PATROLLING,0
111,Mitte,Safe,13b0e941-a94d-4860-afdd-febd0be844f6, ,PATROLLING,0
112,Mitte,Safe,0051fd42-9c5a-4beb-a5f1-4a054653910f, ,PATROLLING,0
113,Mitte,Safe,0110602a-aed8-497b-9f80-38148acf1d91, ,PATROLLING,0
114,Mitte,Safe,12accf81-447c-451c-8c03-32647877fab0, ,PATROLLING,0
122,Mitte,Safe,640d6088-89f1-4984-8111-bad4db87dd2a, ,PATROLLING,0
123,Mitte,Safe,89cd3fd7-912c-452b-a885-bea9932834ad, ,PATROLLING,0
123,Mitte,Safe,688b81f2-bab9-44e1-a41e-d3e6327773d6, ,PATROLLING,0
124,Mitte,Safe,6835961a-1df0-4020-9234-ae4014fde6f8, ,PATROLLING,0
125,Mitte,Safe,7d3a68d7-3a50-4c56-b72a-faccbe566064, ,PATROLLING,0
126,Mitte,Safe,44cc3a00-12cd-4e78-a24d-db08d7e35261, ,PATROLLING,0
127,Mitte,Safe,cbf24349-bc54-484c-b729-36d9d6725c7c, ,PATROLLING,0
127,Mitte,Safe,83d219fe-51fe-4751-8e70-18cd4a0730ed, ,PATROLLING,0
128,Mitte,Safe,438b7ecb-8880-4e3a-bc99-c3294e1ab20a, ,PATROLLING,0
129,Mitte,Safe,54da2f8c-bd5e-4ae5-a4b3-15c74249080a, ,PATROLLING,0
129,Mitte,Safe,0db0b6ab-c0c7-4911-8913-6f0f46f07a58, ,PATROLLING,0
130,Mitte,Safe,7c3684b7-073c-41f0-87ba-691fa2e10b92, ,PATROLLING,0
130,Mitte,Safe,e5bbe1c5-c7a4-4d4f-bef3-f5b6b953e85d, ,PATROLLING,0
130,Mitte,Safe,292ad6af-2eeb-4ee0-8e30-ec403c74c785, ,PATROLLING,0
131,Mitte,Safe,3feb908c-e800-4e2c-b111-64dc954512de, ,PATROLLING,0
132,Mitte,Safe,5283ffb4-9dab-488e-8949-b5ec0c3cbc50, ,PATROLLING,0
132,Mitte,Safe,19fa2a9e-16f5-4742-a934-1816ca4512a5, ,PATROLLING,0
133,Mitte,Safe,ae295ff2-caee-4f65-92ef-0ab524c0d920, ,PATROLLING,0
133,Mitte,Safe,e63a0775-ddf3-4eb1-b38c-874d34047388, ,PATROLLING,0
135,Mitte,Safe,65c54797-26e6-4148-916c-dae3d72a3b6c, ,PATROLLING,0
135,Mitte,Safe,2fc54077-ac64-4f7c-8f74-fd39453ab7fe, ,PATROLLING,0
136,Mitte,Safe,86ee1d33-788b-43e7-912b-b0e2d03770f4, ,PATROLLING,0
136,Mitte,Safe,288299c6-8cbf-4291-a149-965bccaa05a2, ,PATROLLING,0
137,Mitte,Safe,c76e7a37-16bd-4c73-965b-7042d052396d, ,PATROLLING,0
138,Mitte,Safe,3ed4180f-b0db-4d5b-ae9d-16c6eda23a26, ,PATROLLING,0
138,Mitte,Safe,8f67f6bf-e423-46f5-b5b6-aa6b181b50aa, ,PATROLLING,0
139,Mitte,Safe,651f6aa1-cc83-435e-ba0d-223e0dc848d5, ,PATROLLING,0
139,Mitte,Safe,7bb73b9d-0625-4640-a5ac-b9d73409c5f6, ,PATROLLING,0
139,Mitte,Safe,a938cf23-ae1f-4742-8f5f-e90068c63597, ,PATROLLING,0
140,Mitte,Safe,7aac305c-d99c-4af8-9025-690711cd5bcb, ,PATROLLING,0
141,Mitte,Safe,ebc6a81d-e438-47a6-b9e7-94bf05677ec8, ,PATROLLING,0
141,Mitte,Safe,0de5d9b0-fef9-4f12-b8ed-4b4c8166aaed, ,PATROLLING,0
231,Mitte,Safe,0b1cb2dc-c714-4e8c-b3ff-cd103abdd837,PATROLLING,TRANSFER_TO_INTERVENTION,0
238,Mitte,Safe,0b1cb2dc-c714-4e8c-b3ff-cd103abdd837,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
321,Mitte,Safe,760de6da-4861-4271-8e06-ced8d76f14a0,PATROLLING,TRANSFER_TO_INTERVENTION,0
321,Mitte,Safe,760de6da-4861-4271-8e06-ced8d76f14a0,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
398,Mitte,Safe,81c54f4e-22a1-4931-bb56-8e7bdb4c0b62,PATROLLING,CALCULATING_PATH,0
456,Mitte,Safe,71106ffe-58d4-4d3e-8518-821ec63ac3fe,PATROLLING,CALCULATING_PATH,0
472,Mitte,Safe,13b0e941-a94d-4860-afdd-febd0be844f6,PATROLLING,CALCULATING_PATH,0
476,Mitte,Safe,0051fd42-9c5a-4beb-a5f1-4a054653910f,PATROLLING,CALCULATING_PATH,0
482,Mitte,Safe,0110602a-aed8-497b-9f80-38148acf1d91,PATROLLING,CALCULATING_PATH,0
488,Mitte,Safe,12accf81-447c-451c-8c03-32647877fab0,PATROLLING,CALCULATING_PATH,0
544,Mitte,Safe,640d6088-89f1-4984-8111-bad4db87dd2a,PATROLLING,CALCULATING_PATH,0
550,Mitte,Safe,89cd3fd7-912c-452b-a885-bea9932834ad,PATROLLING,CALCULATING_PATH,0
554,Mitte,Safe,688b81f2-bab9-44e1-a41e-d3e6327773d6,PATROLLING,CALCULATING_PATH,0
559,Mitte,Safe,6835961a-1df0-4020-9234-ae4014fde6f8,PATROLLING,CALCULATING_PATH,0
564,Mitte,Safe,7d3a68d7-3a50-4c56-b72a-faccbe566064,PATROLLING,CALCULATING_PATH,0
569,Mitte,Safe,44cc3a00-12cd-4e78-a24d-db08d7e35261,PATROLLING,CALCULATING_PATH,0
574,Mitte,Safe,cbf24349-bc54-484c-b729-36d9d6725c7c,PATROLLING,CALCULATING_PATH,0
795,Mitte,Safe,83d219fe-51fe-4751-8e70-18cd4a0730ed,PATROLLING,CALCULATING_PATH,0
800,Mitte,Safe,438b7ecb-8880-4e3a-bc99-c3294e1ab20a,PATROLLING,CALCULATING_PATH,0
834,Mitte,Safe,54da2f8c-bd5e-4ae5-a4b3-15c74249080a,PATROLLING,CALCULATING_PATH,0
838,Mitte,Safe,0db0b6ab-c0c7-4911-8913-6f0f46f07a58,PATROLLING,CALCULATING_PATH,0
1002,Mitte,Safe,7c3684b7-073c-41f0-87ba-691fa2e10b92,PATROLLING,CALCULATING_PATH,0
1009,Mitte,Safe,e5bbe1c5-c7a4-4d4f-bef3-f5b6b953e85d,PATROLLING,CALCULATING_PATH,0
1014,Mitte,Safe,292ad6af-2eeb-4ee0-8e30-ec403c74c785,PATROLLING,CALCULATING_PATH,0
1034,Mitte,Safe,3feb908c-e800-4e2c-b111-64dc954512de,PATROLLING,CALCULATING_PATH,0
1055,Mitte,Safe,5283ffb4-9dab-488e-8949-b5ec0c3cbc50,PATROLLING,CALCULATING_PATH,0
1061,Mitte,Safe,19fa2a9e-16f5-4742-a934-1816ca4512a5,PATROLLING,CALCULATING_PATH,0
1066,Mitte,Safe,ae295ff2-caee-4f65-92ef-0ab524c0d920,PATROLLING,CALCULATING_PATH,0
1071,Mitte,Safe,e63a0775-ddf3-4eb1-b38c-874d34047388,PATROLLING,CALCULATING_PATH,0
1075,Mitte,Safe,65c54797-26e6-4148-916c-dae3d72a3b6c,PATROLLING,CALCULATING_PATH,0
1081,Mitte,Safe,2fc54077-ac64-4f7c-8f74-fd39453ab7fe,PATROLLING,CALCULATING_PATH,0
1098,Mitte,Safe,86ee1d33-788b-43e7-912b-b0e2d03770f4,PATROLLING,CALCULATING_PATH,0
1104,Mitte,Safe,288299c6-8cbf-4291-a149-965bccaa05a2,PATROLLING,CALCULATING_PATH,0
1196,Mitte,Safe,c76e7a37-16bd-4c73-965b-7042d052396d,PATROLLING,CALCULATING_PATH,0
1201,Mitte,Safe,3ed4180f-b0db-4d5b-ae9d-16c6eda23a26,PATROLLING,CALCULATING_PATH,0
1206,Mitte,Safe,8f67f6bf-e423-46f5-b5b6-aa6b181b50aa,PATROLLING,CALCULATING_PATH,0
1211,Mitte,Safe,651f6aa1-cc83-435e-ba0d-223e0dc848d5,PATROLLING,CALCULATING_PATH,0
1219,Mitte,Safe,7bb73b9d-0625-4640-a5ac-b9d73409c5f6,PATROLLING,CALCULATING_PATH,0
1224,Mitte,Safe,a938cf23-ae1f-4742-8f5f-e90068c63597,PATROLLING,CALCULATING_PATH,0
1229,Mitte,Safe,7aac305c-d99c-4af8-9025-690711cd5bcb,PATROLLING,CALCULATING_PATH,0
1235,Mitte,Safe,ebc6a81d-e438-47a6-b9e7-94bf05677ec8,PATROLLING,CALCULATING_PATH,0
1250,Mitte,Safe,0de5d9b0-fef9-4f12-b8ed-4b4c8166aaed,PATROLLING,CALCULATING_PATH,0
1384,Mitte,Safe,0b1cb2dc-c714-4e8c-b3ff-cd103abdd837,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
1384,Mitte,Safe,760de6da-4861-4271-8e06-ced8d76f14a0,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
1622,Mitte,Safe,81c54f4e-22a1-4931-bb56-8e7bdb4c0b62,CALCULATING_PATH,PATROLLING,0
1623,Mitte,Safe,71106ffe-58d4-4d3e-8518-821ec63ac3fe,CALCULATING_PATH,PATROLLING,0
1624,Mitte,Safe,13b0e941-a94d-4860-afdd-febd0be844f6,CALCULATING_PATH,PATROLLING,0
1624,Mitte,Safe,0051fd42-9c5a-4beb-a5f1-4a054653910f,CALCULATING_PATH,PATROLLING,0
1624,Mitte,Safe,0110602a-aed8-497b-9f80-38148acf1d91,CALCULATING_PATH,PATROLLING,0
1624,Mitte,Safe,12accf81-447c-451c-8c03-32647877fab0,CALCULATING_PATH,PATROLLING,0
1625,Mitte,Safe,640d6088-89f1-4984-8111-bad4db87dd2a,CALCULATING_PATH,PATROLLING,0
1625,Mitte,Safe,89cd3fd7-912c-452b-a885-bea9932834ad,CALCULATING_PATH,PATROLLING,0
1625,Mitte,Safe,688b81f2-bab9-44e1-a41e-d3e6327773d6,CALCULATING_PATH,PATROLLING,0
1626,Mitte,Safe,6835961a-1df0-4020-9234-ae4014fde6f8,CALCULATING_PATH,PATROLLING,0
1626,Mitte,Safe,7d3a68d7-3a50-4c56-b72a-faccbe566064,CALCULATING_PATH,PATROLLING,0
1627,Mitte,Safe,44cc3a00-12cd-4e78-a24d-db08d7e35261,CALCULATING_PATH,PATROLLING,0
1627,Mitte,Safe,cbf24349-bc54-484c-b729-36d9d6725c7c,CALCULATING_PATH,PATROLLING,0
1627,Mitte,Safe,83d219fe-51fe-4751-8e70-18cd4a0730ed,CALCULATING_PATH,PATROLLING,0
1628,Mitte,Safe,438b7ecb-8880-4e3a-bc99-c3294e1ab20a,CALCULATING_PATH,PATROLLING,0
1628,Mitte,Safe,54da2f8c-bd5e-4ae5-a4b3-15c74249080a,CALCULATING_PATH,PATROLLING,0
1628,Mitte,Safe,0db0b6ab-c0c7-4911-8913-6f0f46f07a58,CALCULATING_PATH,PATROLLING,0
1629,Mitte,Safe,7c3684b7-073c-41f0-87ba-691fa2e10b92,CALCULATING_PATH,PATROLLING,0
1699,Mitte,Safe,e5bbe1c5-c7a4-4d4f-bef3-f5b6b953e85d,CALCULATING_PATH,PATROLLING,0
1699,Mitte,Safe,292ad6af-2eeb-4ee0-8e30-ec403c74c785,CALCULATING_PATH,PATROLLING,0
1700,Mitte,Safe,3feb908c-e800-4e2c-b111-64dc954512de,CALCULATING_PATH,PATROLLING,0
1700,Mitte,Safe,5283ffb4-9dab-488e-8949-b5ec0c3cbc50,CALCULATING_PATH,PATROLLING,0
1700,Mitte,Safe,19fa2a9e-16f5-4742-a934-1816ca4512a5,CALCULATING_PATH,PATROLLING,0
1701,Mitte,Safe,ae295ff2-caee-4f65-92ef-0ab524c0d920,CALCULATING_PATH,PATROLLING,0
1702,Mitte,Safe,e63a0775-ddf3-4eb1-b38c-874d34047388,CALCULATING_PATH,PATROLLING,0
1702,Mitte,Safe,65c54797-26e6-4148-916c-dae3d72a3b6c,CALCULATING_PATH,PATROLLING,0
1702,Mitte,Safe,2fc54077-ac64-4f7c-8f74-fd39453ab7fe,CALCULATING_PATH,PATROLLING,0
