"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
3302,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,"21481,48011475915",966.6666051641618
3790,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,"19779,861120213634",890.0937504096136
4031,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,"14865,751535993139",668.9588191196913
4969,f15891e5-24e6-40df-a5a9-c4db70fd062c,Neukölln,NotSafe,"15446,319793663522",695.0843907148585
6406,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,"11315,085987789174",509.1788694505129
7704,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,"18564,181346952817",835.3881606128768
9598,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,"23692,700132006623",1066.1715059402982
10556,98d64a87-f5ea-40af-9ef3-e4e1511ba456,Tempelhof-Schöneberg,NotSafe,"17240,97623647311",775.84393064129
14339,8f1ef47b-eb4c-41fc-9249-403c214b1c34,Tempelhof-Schöneberg,NotSafe,"15190,728925480098",683.5828016466045
16045,1343b35d-c71a-44b2-b41f-27b9dcdc78d8,Friedrichshain-Kreuzberg,RatherSafe,"14230,615477220028",640.3776964749013
16830,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"12267,75132239893",552.0488095079519
17693,7e0f52c9-5080-46eb-801f-a0aa4876a50e,Friedrichshain-Kreuzberg,RatherSafe,"12267,75132239893",552.0488095079519
18715,830ad707-1bc3-4098-9db3-0051a87cb330,Spandau,NotSafe,"26055,03763287673",1172.476693479453
20306,f11c5018-b529-4e27-a49a-18b0f0754bf9,Tempelhof-Schöneberg,NotSafe,"14870,023487625904",669.1510569431657
21162,68856218-2cc8-45a7-bc16-0e9a26a10d40,Charlottenburg-Wilmersdorf,NotSafe,"22482,42787117123",1011.7092542027053
22860,1ce71092-25fb-416e-99b2-5966641f26fe,Spandau,NotSafe,"25706,4605626659",1156.7907253199655
25149,8b99f918-be11-496e-9385-af21d1e2d7bc,Treptow-Köpenick,RatherSafe,"8354,792860195397",375.9656787087929
27038,7a06c219-f02a-4fad-ba59-47b2ee1c3bf0,Tempelhof-Schöneberg,NotSafe,"16796,002064239954",755.8200928907979
27536,1f2aa6ef-bb09-4d7c-8623-5ec546cfbd69,Steglitz-Zehlendorf,RatherSafe,"25610,43843650131",1152.469729642559
28579,f701df0e-7d1d-4515-995a-ee2e58a59712,Spandau,NotSafe,"25883,468946236124",1164.7561025806256
28853,afdff392-a6ac-4e63-9b24-3acd4a278e96,Tempelhof-Schöneberg,NotSafe,"19519,47609266616",878.3764241699772
