"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
3787,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,PATROLLING,3,"3476,5945619343183",0
4029,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,TRANSFER_TO_INTERVENTION,4,"2689,224666657978",0
4130,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,PATROLLING,3,"3351,483450526622",0
4133,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,PATROLLING,3,"3437,242504604421",0
4246,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,PATROLLING,2,"1873,7207964792171",0
4249,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,PATROLLING,3,"3356,81226895605",0
4512,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,PATROLLING,3,"3560,647130489197",0
4967,f15891e5-24e6-40df-a5a9-c4db70fd062c,Neukölln,NotSafe,PATROLLING,2,"1516,253707852892",0
5650,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,PATROLLING,3,"3564,731359888593",0
6404,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,PATROLLING,2,"2335,538947861836",0
6406,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,PATROLLING,2,"1408,5098376046933",0
6434,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,PATROLLING,3,"2959,2893693891897",0
6436,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,PATROLLING,3,"2578,0250304780952",0
7703,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,PATROLLING,2,"2108,1586535314186",0
7704,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,PATROLLING,2,"2066,300787930654",0
9597,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,PATROLLING,3,"2591,3422104367282",0
9660,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,PATROLLING,3,"3483,2828254369488",0
