"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
283,14cecc5a-06c3-4f07-8adf-66c1580d2777,Grabówka,RatherSafe,"2761,238288146088"
292,fb473147-e741-4fc7-99ff-ba68d229c8e3,Strusina,RatherSafe,"2005,4550080561833"
511,815591e7-dc29-452e-b6d9-ec84cc68ab9c,Krzy¿,NotSafe,"3833,0664973760195"
515,ba72dd04-0931-4f5d-ab04-4c8e2225427a,Koszyce,RatherSafe,"3465,591321762442"
516,a01a967f-ba8e-440f-be7e-fbfb2e456e65,Chyszów,RatherSafe,"698,6855510850472"
680,e4eabf3a-834d-471c-86b9-8e91aed18f81,Piaskówka,RatherSafe,"314,9048701327831"
703,12317611-641f-4de3-ab3c-c3458f557a60,Krakowska,RatherSafe,"947,8380209598048"
737,0a22ceb7-8dcb-4804-803e-7651166e8736,Westerplatte,RatherSafe,"2053,729156150998"
1000,ea5b6aba-8e74-44b1-a612-69e08c9799f4,Legionów Henryka D¹browskiego,RatherSafe,"273,60825814132505"
1086,e877ebc9-0fdf-4fb7-ae78-68aef7f5fa7a,Krakowska,RatherSafe,"203,6390213022898"
1138,4990aa5d-2946-4a85-8d84-7d7a66e21c8b,Moœcice,RatherSafe,"774,0657107171617"
1249,74fe5bb7-45d5-4f34-97ea-4a8929323efb,Gumniska-Zab³ocie,RatherSafe,"719,5889971747526"
1339,e04cac4d-5da7-4a27-90e9-0bda5d9daedd,Krakowska,RatherSafe,"923,6542193294757"
1608,9da8d492-0a6b-4cf0-b189-eb5331633890,Westerplatte,RatherSafe,"1002,9010302090553"
1655,795beff0-038c-4a60-a5f5-a91a9051b30d,Piaskówka,RatherSafe,"665,7331976467226"
1756,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,"1016,7048119503805"
1759,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,"621,4948154707998"
1800,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,"1536,6247695343127"
1852,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,"1647,900778572955"
1853,d7e43bae-3478-4ef3-b88f-1fc701ef857a,Krzy¿,NotSafe,"2432,064851013801"
1854,a8e82671-b531-4049-989c-11c65340841c,Piaskówka,RatherSafe,"1016,2301906251516"
2173,0477ae6b-2a6f-4112-a23a-a616016d61e4,Chyszów,RatherSafe,"718,4581967585697"
2490,8681f587-bac8-4300-8805-69fd0be8fbc5,Legionów Henryka D¹browskiego,RatherSafe,"880,6917907344259"
2490,8d279c10-5a35-4242-b122-38b89447e856,Strusina,RatherSafe,"788,0325965211412"
2798,d390da9d-9ba9-46c5-bb03-412eb5109781,Chyszów,RatherSafe,"1746,1480031862698"
2922,86dd4dfd-3649-472c-a63e-b0d5ddf6b61f,Westerplatte,RatherSafe,"964,7044955810663"
2962,762a14f9-d3be-47df-9555-7265c6203e5d,Grabówka,RatherSafe,"387,52623148511094"
3100,dc47d7cf-bfee-4ed0-bd79-fd49ad5ec1be,Koszyce,RatherSafe,"1148,038423517558"
3101,8948baf3-acc4-48e5-9068-40e26bb0cd39,Grabówka,RatherSafe,"514,7657868698923"
3118,84e045c0-7a3e-44e0-84ed-92aa2b432fcc,Krzy¿,NotSafe,"665,1300644348855"
3235,2058ac04-59d0-460e-8fff-f3c8d3277c7d,Klikowa,Safe,"182,2464277954428"
3530,49b1d3b1-e304-411a-8764-6306d1f037d0,Krzy¿,NotSafe,"1120,4026455359021"
3557,52d8e178-b6fc-4651-b7bc-07ac3315869c,Klikowa,Safe,"1233,1327260670234"
3782,cf73fb00-3a80-4eb7-a49d-1e721fb4b908,Krzy¿,NotSafe,"1111,4440097910556"
3835,32842d7e-d32c-46e9-a61d-b97da4c9adc7,Piaskówka,RatherSafe,"1166,4852767736909"
3994,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,"686,721289454124"
3995,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,"1031,1871999538296"
4029,c3c26a74-b41a-4831-b7f4-a839ef675674,Gumniska-Zab³ocie,RatherSafe,"923,55572844387"
4512,c3adc5d1-9da6-4be0-8ac4-59a9d17b524f,Grabówka,RatherSafe,"737,8170855303526"
4588,66fcb0da-6b20-408f-91d9-79b42d801b87,Jasna,RatherSafe,"777,5157596095987"
4753,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,"939,6630458647888"
4753,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,"1139,4531953737303"
4754,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,"792,3147476085584"
4754,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,"895,0436195200525"
4942,ba8f57f7-8e21-4886-ba6b-12814152bb93,Klikowa,Safe,"1715,0392865033941"
4953,fcbfdeda-e4cf-4f10-a405-0efa71c1f754,Gumniska-Zab³ocie,RatherSafe,"1097,7143668231658"
5180,a38cc95f-99cf-4cd6-8a0a-17a1dbafe664,Starówka,RatherSafe,"254,43641474878655"
5310,81f7ee64-e2e3-4f9c-ba86-1c4fd8191637,Gumniska-Zab³ocie,RatherSafe,"2094,5773439045347"
5379,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"659,2355859076351"
5379,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"691,8016013869441"
5379,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"684,1644210952131"
5380,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"535,4923135818775"
5381,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"834,6838850455298"
5416,d45a4492-190e-4945-9d12-92770960dfea,Koszyce,RatherSafe,"700,1244374210409"
5439,12f77a01-147d-4961-beaa-72dc581e2552,Zielone,RatherSafe,"2032,9478793081907"
5516,698d2ca7-6be2-443a-9559-987b253cf38e,Krzy¿,NotSafe,"1121,3696332519994"
5560,acfd45b2-9a48-4a0b-ac1e-127eb32742a4,Strusina,RatherSafe,"497,79390740467824"
5635,c512eca1-7ae4-4386-a938-5fb8bb122413,Legionów Henryka D¹browskiego,RatherSafe,"627,478148680578"
5762,6a9d2c89-4322-4cc9-acec-305dde65306f,Westerplatte,RatherSafe,"1017,7697587015881"
6601,0a0cab00-50a3-4a80-8975-6b3199725611,Moœcice,RatherSafe,"551,7926803347706"
6634,9902c56f-ffa4-4b8c-9f7a-39c94b41284d,Starówka,RatherSafe,"752,579409104919"
6859,aa16b27b-6f2b-49db-b4e2-ba257f0b16e5,Starówka,RatherSafe,"1049,5456595928215"
6925,7e5d99a7-5308-40e6-b21a-20dabc8d5077,Koszyce,RatherSafe,"1878,9219538853702"
7054,73f8f0ff-5fa2-4bf3-b4b1-3512e19f5ada,Piaskówka,RatherSafe,"1105,212492200628"
7054,d371daba-01ee-4015-9501-bc39de70d0b6,Westerplatte,RatherSafe,"769,9944007647754"
7129,7385b410-a762-4811-9327-42a62b373697,Krakowska,RatherSafe,"655,1035999651554"
7216,33eb417d-74d0-49bb-a12c-bee2e5baa503,Gumniska-Zab³ocie,RatherSafe,"762,3234867406868"
7230,3cb09c79-b57e-405c-944a-637dc87ff18a,Starówka,RatherSafe,"410,1086604125008"
7252,fc33d495-3347-4c8b-85d1-8c0a525b47ce,Chyszów,RatherSafe,"682,4114677344202"
7471,626ab542-8f91-4f47-9b42-f74b32c33767,Westerplatte,RatherSafe,"713,3116942084965"
7526,9f86dae4-2373-409c-a54a-f28b5fdc31f8,Zielone,RatherSafe,"2210,0831793887614"
7547,d0c3345b-f912-4011-beb0-2319ee081961,Zielone,RatherSafe,"1148,0035239156496"
7632,1d4cdf00-89a2-4a24-8c9e-be3bd6e2ce37,Chyszów,RatherSafe,"691,2718246089498"
7792,0c737284-349c-4f28-b9e0-a5b9804acd9a,Westerplatte,RatherSafe,"816,2459899733507"
8403,c08b8a21-8337-45f5-8622-58c6144eb257,Strusina,RatherSafe,"860,2185078066542"
8870,968d3268-8c3c-49e1-8a73-f093e5d74bdd,Westerplatte,RatherSafe,"842,0919762667006"
8904,170f4311-def1-4bca-8bf5-50df375aba55,Legionów Henryka D¹browskiego,RatherSafe,"785,3095236201256"
8958,fb0f703e-9f64-410a-8b2a-aff95d094936,Krzy¿,NotSafe,"1160,2220751954578"
8990,8947c2c1-525b-47b6-b25d-1a02f76889c8,Rzêdzin,Safe,"1857,929572082356"
9001,cd0c52ba-f948-4553-9718-759575cef324,Strusina,RatherSafe,"1040,2036211291195"
9077,0d049fdd-f474-471c-bfb1-350f9384a15c,Legionów Henryka D¹browskiego,RatherSafe,"1184,2833612082861"
9120,c7783150-cc56-4d52-b130-9154200a88e7,Starówka,RatherSafe,"533,003009800214"
9162,1eb802fc-6e7b-41a4-bf7a-9f9eff6c7c01,Krzy¿,NotSafe,"1183,7983142331236"
9206,ea316d25-701d-4e30-8f2c-5e762b7b5e8e,Klikowa,Safe,"3142,2571873091547"
9327,cdd1e2cb-ae06-4aa2-bec4-f7d546a5cf7b,Moœcice,RatherSafe,"495,378724726061"
9403,4b8a9fb2-ff04-4116-acc7-f3665a752117,Piaskówka,RatherSafe,"682,9847813750807"
9436,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"530,3055203257233"
9437,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"1171,8680357854807"
9437,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"229,14886140386258"
9438,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"1033,23314660147"
9439,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"40,41767845953457"
9439,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"191,06213268320593"
9671,e6aa8180-1571-41f2-ae89-cacb2fcf6ab3,Koszyce,RatherSafe,"1008,115298589928"
