"simulationTime[s]","firingID","districtName","districtSafetyLevel","revokedPatrols","isNight"
4833,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,2,0
5461,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,1,0
9463,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,4,0
9990,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,2,0
11863,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,2,0
12843,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,1,0
12990,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,3,0
13178,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,5,0
15547,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,3,0
16678,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,3,0
16800,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,3,0
20445,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,5,0
