"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
7200,11481.316357667572,516.6592360950408
14400,11270.681446228376,507.18066508027704
21600,11666.518367609166,524.9933265424124
28800,9700.24517504593,436.5110328770669
36000,9019.663353609883,405.8848509124448
43200,10572.994436262246,475.7847496318012
50401,7774.869726643482,349.86913769895665
57600,11171.569901634255,502.72064557354145
64800,10923.441553375573,491.5548699019007
72000,9761.0574532677,439.2475853970465
79200,12259.851743948755,551.693328477694
