"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,26.0,501.0,19.26923076923077,2.0,128.0,64.0
7200,23.0,487.0,21.17391304347826,5.0,332.0,66.4
10801,26.0,543.0,20.884615384615383,3.0,202.0,67.33333333333333
14401,23.0,480.0,20.869565217391305,5.0,336.0,67.2
18001,24.0,471.0,19.625,3.0,227.0,75.66666666666667
21600,30.0,559.0,18.633333333333333,4.0,264.0,66.0
25200,23.0,450.0,19.565217391304348,4.0,262.0,65.5
28802,24.0,509.0,21.208333333333332,3.0,203.0,67.66666666666667
32400,35.0,728.0,20.8,1.0,68.0,68.0
36001,36.0,749.0,20.805555555555557,2.0,123.0,61.5
39600,30.0,632.0,21.066666666666666,9.0,586.0,65.11111111111111
43201,27.0,565.0,20.925925925925927,2.0,143.0,71.5
46801,23.0,479.0,20.82608695652174,2.0,126.0,63.0
50400,32.0,673.0,21.03125,3.0,189.0,63.0
54000,23.0,461.0,20.043478260869566,3.0,208.0,69.33333333333333
57601,23.0,493.0,21.434782608695652,5.0,333.0,66.6
61200,34.0,739.0,21.735294117647058,6.0,447.0,74.5
64801,29.0,586.0,20.20689655172414,5.0,346.0,69.2
68400,33.0,680.0,20.606060606060606,8.0,499.0,62.375
72000,28.0,572.0,20.428571428571427,7.0,468.0,66.85714285714286
75602,33.0,651.0,19.727272727272727,5.0,356.0,71.2
79200,29.0,589.0,20.310344827586206,4.0,281.0,70.25
82800,27.0,563.0,20.85185185185185,2.0,119.0,59.5
