"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,161.46153846153845,293.5
7200,130.95652173913044,277.2
10801,237.53846153846155,501.6666666666667
14401,103.8695652173913,353.0
18001,128.08333333333334,564.0
21600,158.63333333333333,263.5
25200,143.30434782608697,220.75
28802,172.625,372.6666666666667
32400,116.62857142857143,1105.0
36001,127.69444444444444,264.5
39600,203.26666666666668,273.1111111111111
43201,237.4814814814815,545.5
46803,117.73913043478261,238.0
50402,145.125,274.0
54000,131.34782608695653,286.6666666666667
57600,110.43478260869566,408.4
61200,124.76470588235294,371.3333333333333
64801,147.9655172413793,496.8
68400,138.87878787878788,205.125
72000,139.25,244.57142857142858
75602,153.06060606060606,620.8
79200,174.55172413793105,356.25
82800,115.07407407407408,352.5
