"simulationTime[s]","patrolState","timeInState[s]"
966,PATROLLING,966.0
1037,CALCULATING_PATH,71.0
1267,PATROLLING,228.0
1450,CALCULATING_PATH,182.0
2135,TRANSFER_TO_INTERVENTION,685.0
3469,INTERVENTION,1334.0
3529,CALCULATING_PATH,60.0
4991,PATROLLING,1462.0
5048,CALCULATING_PATH,57.0
6060,PATROLLING,1012.0
6087,CALCULATING_PATH,27.0
6335,TRANSFER_TO_INTERVENTION,248.0
6935,INTERVENTION,600.0
10986,FIRING,4051.0
11024,PATROLLING,38.0
11052,CALCULATING_PATH,28.0
11316,PATROLLING,264.0
11344,CALCULATING_PATH,28.0
11457,TRANSFER_TO_INTERVENTION,113.0
12949,INTERVENTION,1492.0
12978,CALCULATING_PATH,29.0
13150,PATROLLING,172.0
13177,CALCULATING_PATH,27.0
13388,TRANSFER_TO_INTERVENTION,211.0
14443,INTERVENTION,1054.0
14506,CALCULATING_PATH,63.0
14797,PATROLLING,291.0
14823,CALCULATING_PATH,26.0
14899,TRANSFER_TO_INTERVENTION,76.0
16117,INTERVENTION,1218.0
16142,CALCULATING_PATH,25.0
16403,PATROLLING,261.0
16429,CALCULATING_PATH,26.0
16646,TRANSFER_TO_INTERVENTION,217.0
18134,INTERVENTION,1488.0
18161,CALCULATING_PATH,27.0
18351,PATROLLING,190.0
18377,CALCULATING_PATH,26.0
18639,TRANSFER_TO_INTERVENTION,262.0
20038,INTERVENTION,1399.0
20064,CALCULATING_PATH,26.0
20176,PATROLLING,112.0
20203,CALCULATING_PATH,27.0
20313,TRANSFER_TO_INTERVENTION,110.0
21441,INTERVENTION,1128.0
26387,FIRING,4946.0
26423,PATROLLING,36.0
26450,CALCULATING_PATH,27.0
26682,TRANSFER_TO_INTERVENTION,232.0
28191,INTERVENTION,1509.0
28219,CALCULATING_PATH,28.0
28587,PATROLLING,368.0
28614,CALCULATING_PATH,27.0
28693,TRANSFER_TO_INTERVENTION,79.0
29790,INTERVENTION,1097.0
29819,CALCULATING_PATH,29.0
29849,PATROLLING,30.0
29879,CALCULATING_PATH,30.0
30004,TRANSFER_TO_INTERVENTION,125.0
31063,INTERVENTION,1059.0
31089,CALCULATING_PATH,26.0
31116,PATROLLING,27.0
31143,CALCULATING_PATH,27.0
31301,RETURNING_TO_HQ,158.0
31578,FIRING,277.0
31609,PATROLLING,31.0
31636,CALCULATING_PATH,27.0
32525,RETURNING_TO_HQ,889.0
33406,PATROLLING,881.0
33462,CALCULATING_PATH,56.0
33568,PATROLLING,106.0
33594,CALCULATING_PATH,26.0
33647,TRANSFER_TO_INTERVENTION,53.0
35205,INTERVENTION,1558.0
35256,CALCULATING_PATH,51.0
35727,PATROLLING,471.0
35755,CALCULATING_PATH,28.0
35964,TRANSFER_TO_INTERVENTION,209.0
37463,INTERVENTION,1499.0
37516,CALCULATING_PATH,53.0
37546,PATROLLING,30.0
37573,CALCULATING_PATH,27.0
38275,RETURNING_TO_HQ,702.0
38353,TRANSFER_TO_INTERVENTION,78.0
40130,INTERVENTION,1777.0
40156,CALCULATING_PATH,26.0
40294,PATROLLING,138.0
40320,CALCULATING_PATH,26.0
40798,TRANSFER_TO_INTERVENTION,478.0
41351,INTERVENTION,553.0
45099,FIRING,3748.0
45132,PATROLLING,33.0
45160,CALCULATING_PATH,28.0
45963,PATROLLING,803.0
45991,CALCULATING_PATH,28.0
46156,TRANSFER_TO_INTERVENTION,165.0
47919,INTERVENTION,1763.0
47947,CALCULATING_PATH,28.0
48253,PATROLLING,306.0
48282,CALCULATING_PATH,29.0
48437,TRANSFER_TO_INTERVENTION,155.0
49513,INTERVENTION,1076.0
49541,CALCULATING_PATH,28.0
49596,PATROLLING,55.0
49621,CALCULATING_PATH,25.0
49777,TRANSFER_TO_INTERVENTION,156.0
50908,INTERVENTION,1131.0
50934,CALCULATING_PATH,26.0
51528,PATROLLING,594.0
51582,CALCULATING_PATH,54.0
51610,PATROLLING,28.0
51636,CALCULATING_PATH,26.0
51788,TRANSFER_TO_INTERVENTION,152.0
53092,INTERVENTION,1304.0
53118,CALCULATING_PATH,26.0
53806,PATROLLING,688.0
53836,CALCULATING_PATH,30.0
54668,PATROLLING,832.0
54721,CALCULATING_PATH,53.0
55062,PATROLLING,341.0
55088,CALCULATING_PATH,26.0
55331,TRANSFER_TO_INTERVENTION,243.0
56713,INTERVENTION,1382.0
56767,CALCULATING_PATH,54.0
57824,PATROLLING,1057.0
57900,CALCULATING_PATH,57.0
58035,RETURNING_TO_HQ,135.0
58965,INTERVENTION,930.0
58997,CALCULATING_PATH,32.0
59025,PATROLLING,28.0
59051,CALCULATING_PATH,26.0
59256,RETURNING_TO_HQ,205.0
61731,FIRING,2475.0
61760,PATROLLING,29.0
61787,CALCULATING_PATH,27.0
62079,RETURNING_TO_HQ,292.0
62104,FIRING,25.0
62134,PATROLLING,30.0
62161,CALCULATING_PATH,27.0
62889,RETURNING_TO_HQ,728.0
63823,INTERVENTION,934.0
63879,CALCULATING_PATH,56.0
64164,PATROLLING,285.0
64196,CALCULATING_PATH,32.0
64249,TRANSFER_TO_INTERVENTION,53.0
65604,INTERVENTION,1355.0
69985,FIRING,4381.0
70012,PATROLLING,27.0
70041,CALCULATING_PATH,29.0
70551,RETURNING_TO_HQ,510.0
70665,PATROLLING,114.0
70692,CALCULATING_PATH,27.0
71644,PATROLLING,952.0
71671,CALCULATING_PATH,27.0
71726,TRANSFER_TO_INTERVENTION,55.0
73099,INTERVENTION,1373.0
73155,CALCULATING_PATH,56.0
73314,PATROLLING,159.0
73342,CALCULATING_PATH,28.0
73501,TRANSFER_TO_INTERVENTION,159.0
75043,INTERVENTION,1542.0
75071,CALCULATING_PATH,28.0
76165,PATROLLING,1094.0
76191,CALCULATING_PATH,26.0
76752,PATROLLING,561.0
76778,CALCULATING_PATH,26.0
76909,TRANSFER_TO_INTERVENTION,131.0
78154,INTERVENTION,1245.0
78180,CALCULATING_PATH,26.0
79129,PATROLLING,949.0
79185,CALCULATING_PATH,56.0
79279,PATROLLING,94.0
79311,CALCULATING_PATH,32.0
79661,TRANSFER_TO_FIRING,350.0
83071,FIRING,3410.0
83112,PATROLLING,41.0
83143,CALCULATING_PATH,31.0
83885,PATROLLING,742.0
83914,CALCULATING_PATH,29.0
84386,PATROLLING,472.0
84414,CALCULATING_PATH,28.0
84637,TRANSFER_TO_FIRING,223.0
