"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
2834,efbd7ef9-8f87-429f-98d5-330e45679492,Stare Miasto,RatherSafe,"8843,456710928082",397.9555519917637
2923,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,"16000,630632732002",720.0283784729401
5619,8c05ba7f-939e-43d6-8643-f33ed68c589b,Nowa Huta,RatherSafe,"7447,07538119501",335.11839215377546
6033,02c76587-8433-41dd-a748-d5f3e4ff37be,Swoszowice,RatherSafe,"14078,83376618584",633.5475194783628
6276,b8ff9639-1bbc-40e1-9bde-f0d2cd6d464e,Zwierzyniec,NotSafe,"15789,525356572087",710.5286410457439
6591,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,"13355,083653483085",600.9787644067388
6905,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,"4854,609002576909",218.4574051159609
8286,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,"7661,367643123142",344.7615439405414
9025,bd905248-eb06-41e1-9d93-8fea1baa22af,Bie¿anów-Prokocim,RatherSafe,"7681,000703667691",345.6450316650461
10800,e16b5a55-aec1-4bd9-8b49-48256abfccf7,Swoszowice,RatherSafe,"14741,918426225822",663.3863291801621
11900,d06e0891-5a3c-4fb8-a320-471108622321,Grzegórzki,NotSafe,"8099,828597343373",364.4922868804518
12808,143de4e4-d9d5-4c96-8605-55471101e5cb,£agiewniki-Borek Fa³êcki,RatherSafe,"10436,704126240615",469.65168568082765
13058,03bcc449-0731-4c7a-9fa9-e81dc3715e03,Zwierzyniec,NotSafe,"17479,4992387177",786.5774657422966
13914,ff00ed06-392c-41db-b05e-0d6f771bbbed,Zwierzyniec,NotSafe,"11901,882417195535",535.5847087737991
14038,4aba91bf-098e-4593-a1f7-da2ec7db47bf,Bronowice,RatherSafe,"12163,250417313135",547.3462687790911
15145,1676dd9b-847d-49d8-afb3-da8b4a618af0,Zwierzyniec,NotSafe,"16358,611095621978",736.137499302989
17722,080e0710-241c-4b81-b9ff-7548bbe821d3,Dêbniki,NotSafe,"9650,66556684016",434.2799505078072
17722,5ca93462-314d-49da-adbc-ecaa3f232c0a,Zwierzyniec,NotSafe,"15317,558956092626",689.2901530241681
19635,550f4465-2ab6-4c37-81a0-a944c1d886d9,Bie¿anów-Prokocim,RatherSafe,"8156,699831393908",367.0514924127259
20794,8feb30d6-2e7b-4113-a229-f070a7d4e93d,Bie¿anów-Prokocim,RatherSafe,"7770,457420888659",349.6705839399897
21090,0a25ab69-8572-4cd7-ad8f-0877693dcc8a,Zwierzyniec,NotSafe,"16733,789799750328",753.0205409887648
21415,d6764a9b-65ac-41ae-a6da-8f7e1b09236e,Grzegórzki,NotSafe,"7677,845902676487",345.50306562044193
21702,1ec4ac8e-ae27-4b43-932d-e4000cf84bc3,Nowa Huta,RatherSafe,"6800,088067996662",306.0039630598498
23304,b7e52bdb-19e1-4332-86c6-2afa663cc111,Dêbniki,NotSafe,"12327,98342511684",554.7592541302578
24030,3b07ec54-9e81-41c2-990d-9f2eae779229,Podgórze,RatherSafe,"6738,430489914883",303.2293720461697
24877,6f3d2cb9-128b-4d90-ba4f-c4e3b9fa45ed,Bie¿anów-Prokocim,RatherSafe,"7367,720649315121",331.54742921918046
25788,7d01fd73-0a0d-464d-8824-89f8dfe5edbc,Bie¿anów-Prokocim,RatherSafe,"8074,386773207115",363.3474047943202
26096,f3719efd-bc73-4fb0-953d-8152ae74f295,Zwierzyniec,NotSafe,"16147,352098805384",726.6308444462423
26838,f4b4bf76-1000-4b6a-b839-6eca5a13fa65,£agiewniki-Borek Fa³êcki,RatherSafe,"10445,754720965502",470.0589624434476
31232,81c3e7bc-2ac4-42d8-86de-ed8619b621c8,Grzegórzki,NotSafe,"7889,861135163047",355.0437510823371
33703,72e1ec09-b1e6-4b5f-9527-3cd237a96bfa,Zwierzyniec,NotSafe,"18487,404560693605",831.9332052312122
34560,c17b557a-b561-44d4-b724-2ab301b91e2a,Nowa Huta,RatherSafe,"681,724364972997",30.677596423784866
36462,03aa8d23-17f6-45e0-a00c-fce4d7247bae,Pr¹dnik Bia³y,RatherSafe,"12957,742326666763",583.0984047000044
36953,c4313b9f-78b8-4ee9-a948-c1c149a50dbd,Zwierzyniec,NotSafe,"12302,172418193803",553.5977588187211
37061,4e22721f-5d18-401c-bd33-908f177dc227,Zwierzyniec,NotSafe,"17130,692199301357",770.8811489685611
37862,740ecf97-0748-42ad-82c4-f9cfdd734872,Bronowice,RatherSafe,"13210,071251136507",594.4532063011428
