"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
2828,efbd7ef9-8f87-429f-98d5-330e45679492,Stare Miasto,RatherSafe,3,1,1,1,"1116,6445417539283",0
2830,efbd7ef9-8f87-429f-98d5-330e45679492,Stare Miasto,RatherSafe,3,1,2,1,"2701,841586736353",0
3088,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,4,1,1,1,"3456,9590278093897",0
3120,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,4,1,2,1,"2400,39147314205",0
3411,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,4,3,1,1,"3401,468973178665",0
6003,8c05ba7f-939e-43d6-8643-f33ed68c589b,Nowa Huta,RatherSafe,2,1,1,1,"3351,0318209323827",0
6031,02c76587-8433-41dd-a748-d5f3e4ff37be,Swoszowice,RatherSafe,3,1,1,1,"2459,874856773575",0
6817,02c76587-8433-41dd-a748-d5f3e4ff37be,Swoszowice,RatherSafe,3,2,1,1,"3499,8546338177352",0
6898,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,6,1,2,2,"7172,115665834464",0
6901,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,5,1,1,1,"666,0365310711613",0
6904,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,5,1,3,2,"4431,650933590954",0
6937,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,5,1,4,1,"3548,507352629791",0
6998,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,6,1,3,1,"2439,823724771419",0
7161,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,6,3,2,1,"3416,438331742427",0
7277,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,6,4,5,4,"12822,962721222952",0
7921,b8ff9639-1bbc-40e1-9bde-f0d2cd6d464e,Zwierzyniec,NotSafe,3,1,1,1,"3474,6654009935714",0
7949,b8ff9639-1bbc-40e1-9bde-f0d2cd6d464e,Zwierzyniec,NotSafe,3,1,2,1,"3447,645913017467",0
8286,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,5,1,2,2,"3488,3941487168436",0
8315,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,5,1,3,1,"3274,4892218615196",0
8479,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,5,3,2,1,"3570,703060420442",0
9025,bd905248-eb06-41e1-9d93-8fea1baa22af,Bie¿anów-Prokocim,RatherSafe,2,1,1,1,"3446,431709572132",0
11900,d06e0891-5a3c-4fb8-a320-471108622321,Grzegórzki,NotSafe,2,1,2,2,"4077,3917735716395",0
12808,143de4e4-d9d5-4c96-8605-55471101e5cb,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,1,1,"1700,3524297205713",0
12840,143de4e4-d9d5-4c96-8605-55471101e5cb,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,4,3,"9166,613131752556",0
13910,ff00ed06-392c-41db-b05e-0d6f771bbbed,Zwierzyniec,NotSafe,6,1,1,1,"698,7882031245364",0
13914,ff00ed06-392c-41db-b05e-0d6f771bbbed,Zwierzyniec,NotSafe,6,1,4,3,"5000,511089672393",0
13946,ff00ed06-392c-41db-b05e-0d6f771bbbed,Zwierzyniec,NotSafe,6,1,9,5,"15639,332698403097",0
14038,4aba91bf-098e-4593-a1f7-da2ec7db47bf,Bronowice,RatherSafe,2,1,1,1,"3090,2983410016777",0
14476,03bcc449-0731-4c7a-9fa9-e81dc3715e03,Zwierzyniec,NotSafe,3,1,1,1,"3356,1750095240914",0
