"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
2796,efbd7ef9-8f87-429f-98d5-330e45679492,Stare Miasto,RatherSafe,PATROLLING,1,"1116,6445417539283",0
2829,efbd7ef9-8f87-429f-98d5-330e45679492,Stare Miasto,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2701,841586736353",0
3087,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,PATROLLING,3,"3456,9590278093897",0
3119,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,PATROLLING,3,"2400,39147314205",0
3410,4ee8e8a7-48ec-4efc-8371-2ef71a33b55f,Dêbniki,NotSafe,PATROLLING,3,"3401,468973178665",0
6001,8c05ba7f-939e-43d6-8643-f33ed68c589b,Nowa Huta,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3351,0318209323827",0
6030,02c76587-8433-41dd-a748-d5f3e4ff37be,Swoszowice,RatherSafe,PATROLLING,3,"2459,874856773575",0
6817,02c76587-8433-41dd-a748-d5f3e4ff37be,Swoszowice,RatherSafe,PATROLLING,3,"3499,8546338177352",0
6896,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3595,547616586183",0
6898,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3576,568049248281",0
6899,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,PATROLLING,1,"666,0365310711613",0
6902,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,PATROLLING,2,"2307,9806837973233",0
6903,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,PATROLLING,2,"2123,6702497936303",0
6937,8f91eac1-4a41-44f5-aab6-a57f40e792ea,Mistrzejowice,RatherSafe,PATROLLING,3,"3548,507352629791",0
6997,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"2439,823724771419",0
7160,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3416,438331742427",0
7272,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3205,740680305738",0
7273,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3205,740680305738",0
7274,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3205,740680305738",0
7275,f4fc0950-9a45-4c27-80f0-d9512add546e,Dêbniki,NotSafe,PATROLLING,3,"3205,740680305738",0
7920,b8ff9639-1bbc-40e1-9bde-f0d2cd6d464e,Zwierzyniec,NotSafe,PATROLLING,3,"3474,6654009935714",0
7948,b8ff9639-1bbc-40e1-9bde-f0d2cd6d464e,Zwierzyniec,NotSafe,PATROLLING,3,"3447,645913017467",0
8284,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,PATROLLING,2,"2134,5971591038415",0
8285,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,PATROLLING,2,"1353,796989613002",0
8314,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,PATROLLING,3,"3274,4892218615196",0
8478,546037ba-1e9a-459a-ac76-de0fe0527027,Grzegórzki,NotSafe,PATROLLING,3,"3570,703060420442",0
