"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"9,23,18,10,7,0,0"
"22,22,25,15,4,0,0"
"17,18,16,10,8,0,0"
"9,24,23,16,13,0,0"
"30,27,28,0,0,0,0"
"20,15,14,11,6,0,0"
"20,21,22,17,10,0,0"
"17,22,22,12,6,0,0"
"26,27,27,16,7,34,0"
"28,31,31,1,1,5,0"
"23,23,21,12,5,0,0"
"16,29,28,21,13,0,0"
"26,23,25,0,0,0,0"
"24,22,22,16,10,0,0"
"22,26,26,25,19,0,0"
"17,20,16,10,5,0,0"
"19,30,30,12,11,40,0"
"26,28,26,39,27,1,0"
"19,30,28,17,10,0,0"
"23,24,21,27,16,0,0"
"19,23,24,15,8,0,0"
"24,27,26,15,8,0,0"
"29,30,31,17,15,0,0"
