"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,23.0,471.0,20.47826086956522,2.0,145.0,72.5
7200,22.0,454.0,20.636363636363637,3.0,202.0,67.33333333333333
10800,18.0,338.0,18.77777777777778,3.0,209.0,69.66666666666667
14400,24.0,519.0,21.625,4.0,249.0,62.25
18000,27.0,577.0,21.37037037037037,0.0,0.0,0.0
21600,16.0,331.0,20.6875,1.0,70.0,70.0
25200,20.0,390.0,19.5,3.0,215.0,71.66666666666667
28800,22.0,456.0,20.727272727272727,3.0,198.0,66.0
32400,27.0,546.0,20.22222222222222,2.0,134.0,67.0
36000,31.0,667.0,21.516129032258064,1.0,72.0,72.0
39600,23.0,473.0,20.565217391304348,2.0,159.0,79.5
43200,29.0,601.0,20.724137931034484,4.0,287.0,71.75
46800,23.0,448.0,19.47826086956522,0.0,0.0,0.0
50400,22.0,415.0,18.863636363636363,4.0,239.0,59.75
54001,26.0,528.0,20.307692307692307,4.0,220.0,55.0
57600,20.0,151.0,7.55,2.0,0.0,0.0
61201,30.0,0.0,0.0,3.0,0.0,0.0
64800,28.0,0.0,0.0,8.0,0.0,0.0
68400,30.0,620.0,20.666666666666668,4.0,765.0,191.25
72001,24.0,508.0,21.166666666666668,6.0,392.0,65.33333333333333
75600,23.0,496.0,21.565217391304348,3.0,186.0,62.0
79200,27.0,564.0,20.88888888888889,3.0,209.0,69.66666666666667
82800,30.0,637.0,21.233333333333334,3.0,235.0,78.33333333333333
