"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,81.82608695652173,154.5
7200,60.18181818181818,154.0
10801,41.166666666666664,183.66666666666666
14400,62.583333333333336,270.5
18000,62.81481481481482,0.0
21600,45.0625,791.0
25200,50.25,269.6666666666667
28800,62.31818181818182,322.6666666666667
32400,70.37037037037037,564.5
36000,48.096774193548384,53.0
39600,49.65217391304348,223.0
43200,55.44827586206897,387.25
46800,65.91304347826087,0.0
50400,58.5,176.25
54000,54.96153846153846,476.25
57600,62.9,310.0
61200,59.233333333333334,375.6666666666667
64800,66.03571428571429,257.75
68401,67.86666666666666,289.5
72000,54.166666666666664,303.3333333333333
75601,53.52173913043478,338.6666666666667
79200,52.370370370370374,268.3333333333333
82800,58.166666666666664,263.3333333333333
