"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
7200,16577.69971048373,745.9964869717676
14402,18672.14666022816,840.2465997102673
21601,17028.934518948623,766.3020533526882
28800,20470.232573967736,921.1604658285481
36000,22099.936712969047,994.4971520836074
43200,20000.762345929666,900.0343055668351
50401,14517.199773848843,653.2739898231979
57600,18060.877871635552,812.7395042236
64800,21942.008774318507,987.390394844333
72000,15250.540263169116,686.2743118426102
79201,20838.777766715037,937.7449995021764
