"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,367.65,0.0
7213,242.55555555555554,405.25
10801,218.53333333333333,252.33333333333334
14400,219.88235294117646,283.0
18000,183.94117647058823,452.0
21600,219.15,281.6666666666667
25200,163.28571428571428,391.5
28800,360.8235294117647,317.3333333333333
32408,249.26315789473685,333.6666666666667
36000,229.4,350.5
39600,242.8,433.75
43200,158.1,160.0
46802,124.4,0.0
50400,96.85714285714286,176.0
54001,199.94444444444446,200.0
57602,295.7083333333333,335.5
61200,237.0,297.7142857142857
64800,244.92857142857142,331.0
68401,192.57142857142858,467.6666666666667
72001,169.3846153846154,272.5
75600,196.9,511.3333333333333
79200,222.76470588235293,181.8
82802,187.31578947368422,515.0
