"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
320,c8b5fb5c-3137-4654-b971-66298f87c14a,Reinickendorf,RatherSafe,"10991,744665122827"
322,f5d9d12f-c9b0-41e6-8e4f-98761ab9b8ab,Neukölln,NotSafe,"12391,032423042037"
1768,d3860f2e-d24a-4baa-be9f-22816463651b,Marzahn-Hellersdorf,Safe,"9371,270772828613"
1769,cc5b188f-d620-4b5a-b217-fd0b5391b0af,Spandau,NotSafe,"9417,199105748767"
1771,3828b7cd-83d9-4e47-aa56-538eb73db452,Neukölln,NotSafe,"8293,464213679106"
1772,5e223ec2-1174-412b-bf62-ef2c350143df,Mitte,Safe,"1069,6006067255973"
1774,682eaf1e-ab51-4b70-82a9-8e31e60ac302,Neukölln,NotSafe,"4410,6416293635975"
1776,cfb04424-9df4-44b7-8c4a-090bdf33c291,Charlottenburg-Wilmersdorf,NotSafe,"1572,5397726163687"
1777,560921ec-c4ca-413d-b79f-3e31b153b6d1,Lichtenberg,Safe,"1019,9342214136633"
1779,78e15ec8-213b-44f1-a85f-6f02482b8507,Charlottenburg-Wilmersdorf,NotSafe,"2963,211225101086"
1977,6bb9a3ad-2830-4a8f-af44-38fdf4990bcc,Spandau,NotSafe,"13092,515744390026"
2148,5bdfdb9a-9789-48b6-949c-ef77f8168e76,Pankow,Safe,"1968,6114914261946"
2149,076a2f65-2e44-4d04-97a2-56cd61d8ca73,Pankow,Safe,"8126,878416186837"
2577,df2d5b81-9a0e-47be-812a-717de2593a46,Reinickendorf,RatherSafe,"4419,176593878245"
2578,4896ca13-3198-45bc-8e6b-811dc4366fcb,Tempelhof-Schöneberg,NotSafe,"4465,754961465336"
2580,50ae79b0-2851-44a2-86a9-d8a12d555df9,Reinickendorf,RatherSafe,"3015,927108278338"
2581,c817e3b0-d374-4657-98b6-6d0a575c55b2,Lichtenberg,Safe,"5948,256212947537"
2683,45194d33-1e7c-4797-a457-e63b8869bf15,Charlottenburg-Wilmersdorf,NotSafe,"11853,331496294017"
2810,0bb83a55-556e-4574-8f12-f4a3c3372a68,Steglitz-Zehlendorf,RatherSafe,"6169,358853328302"
2811,d655462f-342d-4850-abdd-c6e98062b8cf,Marzahn-Hellersdorf,Safe,"2148,5583579342233"
3615,d1e62a83-8e43-47e8-a744-0491a834c017,Neukölln,NotSafe,"4696,464498856476"
3788,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,"3476,5945619343183"
4030,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,"2689,224666657978"
4131,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,"3351,483450526622"
4135,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,"3437,242504604421"
4247,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,"1873,7207964792171"
4249,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,"3356,81226895605"
4512,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,"3560,647130489197"
4576,883ceddb-4efd-45b9-a602-10237e371e3d,Steglitz-Zehlendorf,RatherSafe,"10594,275424487189"
4847,d9a682bd-22f1-47d4-9cd3-ae12245e355f,Neukölln,NotSafe,"2139,636928597771"
4969,f15891e5-24e6-40df-a5a9-c4db70fd062c,Neukölln,NotSafe,"1516,253707852892"
5256,de791c8a-ca2b-4c42-9fdb-5e4064c40abc,Pankow,Safe,"2950,6046886499134"
5349,f7506adf-c114-474f-877f-8c6107a891ac,Treptow-Köpenick,RatherSafe,"2594,6956580712526"
5619,54f3ce19-baa5-46c5-9045-365ddf9d9b29,Charlottenburg-Wilmersdorf,NotSafe,"3326,704243705563"
5651,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,"3564,731359888593"
5652,1852773c-0722-4a68-99e3-705952b28443,Charlottenburg-Wilmersdorf,NotSafe,"2870,278593042439"
5783,dec47c3a-4d05-4c31-a6dd-5062c2873d5a,Steglitz-Zehlendorf,RatherSafe,"1683,3925103380357"
5785,59cf64d9-d53d-4ddc-9483-abf236f0e040,Charlottenburg-Wilmersdorf,NotSafe,"4737,621689908391"
5949,7ad25ed1-d97d-4edc-b5e2-29ae065b4d97,Tempelhof-Schöneberg,NotSafe,"3316,463470020241"
6067,b7068c3e-6b26-4b8b-95c4-80ebb8685f48,Spandau,NotSafe,"1888,0028655630692"
6119,07b4b079-4090-46c6-9f51-32a3ce60a82b,Neukölln,NotSafe,"991,0624133771821"
6326,6741e356-c402-438b-a308-1faf8533642a,Reinickendorf,RatherSafe,"6126,726500469281"
6405,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,"2335,538947861836"
6406,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,"1408,5098376046933"
6435,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,"2959,2893693891897"
6436,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,"2578,0250304780952"
6634,d5c161d9-784f-4937-a0ed-96a07e1310b5,Reinickendorf,RatherSafe,"13029,699548030403"
6635,21c95518-19fc-4f0c-8099-2073d0e43c6f,Mitte,Safe,"4588,726239819505"
6802,dceaa913-db57-402b-9fac-6375a5cb7f86,Treptow-Köpenick,RatherSafe,"1273,5879843106188"
6990,a7000054-11f6-403f-940c-f0c752e4feb9,Steglitz-Zehlendorf,RatherSafe,"4496,58112623468"
7130,a3931bda-564c-4454-8372-c4145df2b122,Charlottenburg-Wilmersdorf,NotSafe,"1604,8757233135543"
7407,e082c818-657b-4966-bc55-cea8161d96c6,Tempelhof-Schöneberg,NotSafe,"8176,762473357355"
7489,fd417f29-9bdf-42c6-9b6e-b73c857f88b8,Neukölln,NotSafe,"2463,5250573851054"
7703,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,"2108,1586535314186"
7704,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,"2066,300787930654"
8196,397fc991-6f28-4ad4-bcc6-cb1f6d4d940e,Spandau,NotSafe,"582,2292048140276"
8251,28a91b01-6c93-465e-8780-a5f7a186e5c8,Steglitz-Zehlendorf,RatherSafe,"5063,4439914699615"
8413,999e5363-8cd8-4cb2-9826-ac6bc196c9af,Marzahn-Hellersdorf,Safe,"5520,811950208203"
8473,f03d7631-4eeb-4ff5-8beb-482b672c13cf,Friedrichshain-Kreuzberg,RatherSafe,"1624,227636412199"
8987,db34199f-842e-4779-ae52-829599c01ee2,Steglitz-Zehlendorf,RatherSafe,"4214,476762822609"
9101,3cf86047-8172-40aa-86b0-85749cd9a8f4,Marzahn-Hellersdorf,Safe,"2867,05255941241"
9314,90ac043c-bfa4-4a66-8cd4-d2a432c0edf4,Lichtenberg,Safe,"2858,167372143182"
9598,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,"2591,3422104367282"
9631,3c8de246-e62a-47db-b1ce-8d025aa5a625,Tempelhof-Schöneberg,NotSafe,"3587,0551147923793"
9634,477630ca-5051-494f-83af-4249a661393e,Tempelhof-Schöneberg,NotSafe,"4373,316955149997"
9661,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,"3483,2828254369488"
9959,bd541296-38bf-4ab3-ba3d-abf53e306cd6,Neukölln,NotSafe,"2357,9701383958054"
10132,d100ec39-1f5c-45d8-bf7c-4863e343b990,Charlottenburg-Wilmersdorf,NotSafe,"916,6466119653909"
10556,98d64a87-f5ea-40af-9ef3-e4e1511ba456,Tempelhof-Schöneberg,NotSafe,"553,3277592674694"
10589,98d64a87-f5ea-40af-9ef3-e4e1511ba456,Tempelhof-Schöneberg,NotSafe,"3558,59385014507"
10590,98d64a87-f5ea-40af-9ef3-e4e1511ba456,Tempelhof-Schöneberg,NotSafe,"2567,958700079896"
10618,0e6f8c6a-a987-467b-8874-25dbc5d276df,Tempelhof-Schöneberg,NotSafe,"4012,0368756331254"
10677,83305882-01ce-4e54-8ff3-de1f1667cf9d,Reinickendorf,RatherSafe,"6164,4972512050645"
10898,64b447a6-6cd1-4644-8104-ce98e8c67f28,Lichtenberg,Safe,"1201,2069418233912"
11035,5593bc62-97f3-424f-8629-f57975c2916a,Treptow-Köpenick,RatherSafe,"9793,537653314104"
11218,ae7acf4d-037c-470a-8deb-66a246e02b06,Friedrichshain-Kreuzberg,RatherSafe,"997,4902031596491"
11488,bfebd064-f8e0-4c73-bdab-15ecc37d9cd2,Tempelhof-Schöneberg,NotSafe,"2115,8169995954054"
11577,05a18358-b3f0-4cbf-93fd-e2a9ca00007c,Steglitz-Zehlendorf,RatherSafe,"3863,370316142292"
11916,d72daaeb-2363-4ace-915a-862335ae740d,Neukölln,NotSafe,"2803,069018844361"
12220,2122ae3d-7d32-4b9a-a549-a223d731d828,Treptow-Köpenick,RatherSafe,"5074,679249644542"
12247,c4952fd0-1424-4d34-a0c2-d36bbeaaf3fa,Spandau,NotSafe,"8305,838913131382"
12334,42d4dabd-abca-44e8-be0e-58f420cb1a26,Friedrichshain-Kreuzberg,RatherSafe,"2348,226490760094"
12884,b5b3bf5b-7d6f-4ee2-b1d5-07d2a051177b,Steglitz-Zehlendorf,RatherSafe,"2087,2342846102733"
13027,462b3a9b-06ac-44fd-ab6c-03be4cc5eda6,Steglitz-Zehlendorf,RatherSafe,"7074,203112504088"
13028,9e3ea555-9a2d-446d-8118-eec6d10ef545,Tempelhof-Schöneberg,NotSafe,"2337,7516133447125"
13218,e2e293e2-77a3-4c92-b207-950a1fb1452f,Tempelhof-Schöneberg,NotSafe,"2950,8650059930874"
13299,d7e7d170-cdd5-41cb-a145-1fd009443155,Mitte,Safe,"720,0896501746871"
13580,edcb0f01-73e4-4b0c-ab06-cff198029d0b,Lichtenberg,Safe,"3312,2458703266734"
13706,f8ea18f8-339e-451e-a7ed-5e5efaa842be,Friedrichshain-Kreuzberg,RatherSafe,"3334,8308843210834"
13708,498a804b-477a-45a4-b744-179a15083ebe,Reinickendorf,RatherSafe,"4103,279393107984"
14339,8f1ef47b-eb4c-41fc-9249-403c214b1c34,Tempelhof-Schöneberg,NotSafe,"344,9680403837995"
14366,8f1ef47b-eb4c-41fc-9249-403c214b1c34,Tempelhof-Schöneberg,NotSafe,"1987,5557663606376"
14368,8f1ef47b-eb4c-41fc-9249-403c214b1c34,Tempelhof-Schöneberg,NotSafe,"2035,2730110829991"
14370,8f1ef47b-eb4c-41fc-9249-403c214b1c34,Tempelhof-Schöneberg,NotSafe,"1977,4747617755772"
14572,881c0e2a-e90d-4ffa-93a9-7ddf8d47ce29,Reinickendorf,RatherSafe,"1033,9805378953158"
14604,c1c4bbe6-ad58-4bc4-a1a4-1b24130a2614,Marzahn-Hellersdorf,Safe,"4302,423311962658"
14890,40cc9d1d-f6e8-4fb7-bda9-cf4104ab224b,Steglitz-Zehlendorf,RatherSafe,"782,5856792459242"
15199,3a8f0942-f02d-473d-b280-0eac0a11e4e9,Neukölln,NotSafe,"3075,329826782989"
15262,41bcf4d9-bc78-4961-a42d-3b479db7ed5a,Steglitz-Zehlendorf,RatherSafe,"5678,212029874638"
15264,c885e61d-bbfb-4c12-9660-c6ae862d562b,Steglitz-Zehlendorf,RatherSafe,"738,2927693943398"
