"simulationTime[s]","patrolState","timeInState[s]"
1383,PATROLLING,1381.0
1766,CALCULATING_PATH,383.0
2312,TRANSFER_TO_INTERVENTION,546.0
3345,INTERVENTION,1033.0
8194,FIRING,4849.0
8243,PATROLLING,49.0
8354,CALCULATING_PATH,110.0
9596,PATROLLING,1242.0
9692,CALCULATING_PATH,96.0
10105,PATROLLING,413.0
10276,CALCULATING_PATH,171.0
10644,PATROLLING,368.0
10735,CALCULATING_PATH,91.0
11062,TRANSFER_TO_INTERVENTION,327.0
12914,INTERVENTION,1852.0
13089,CALCULATING_PATH,175.0
15261,PATROLLING,2172.0
15428,CALCULATING_PATH,167.0
18753,PATROLLING,3325.0
18916,CALCULATING_PATH,163.0
20102,PATROLLING,1186.0
20182,CALCULATING_PATH,80.0
20403,TRANSFER_TO_INTERVENTION,221.0
21194,INTERVENTION,791.0
26793,FIRING,5599.0
26841,PATROLLING,48.0
27038,CALCULATING_PATH,196.0
27713,PATROLLING,675.0
27813,CALCULATING_PATH,100.0
27973,TRANSFER_TO_INTERVENTION,160.0
29610,INTERVENTION,1637.0
29752,CALCULATING_PATH,142.0
29780,PATROLLING,28.0
29865,CALCULATING_PATH,85.0
31558,RETURNING_TO_HQ,1693.0
31663,CALCULATING_PATH,105.0
31691,PATROLLING,28.0
31803,CALCULATING_PATH,112.0
33984,RETURNING_TO_HQ,2181.0
35085,FIRING,1101.0
35122,PATROLLING,37.0
35216,CALCULATING_PATH,94.0
36957,RETURNING_TO_HQ,1741.0
39692,FIRING,2735.0
39726,PATROLLING,34.0
39883,CALCULATING_PATH,157.0
40644,PATROLLING,761.0
40720,CALCULATING_PATH,76.0
40961,TRANSFER_TO_INTERVENTION,241.0
42645,INTERVENTION,1684.0
42758,CALCULATING_PATH,113.0
44332,PATROLLING,1574.0
44412,CALCULATING_PATH,80.0
45096,PATROLLING,684.0
45183,CALCULATING_PATH,87.0
45782,PATROLLING,599.0
45884,CALCULATING_PATH,102.0
47183,PATROLLING,1299.0
47296,CALCULATING_PATH,113.0
48665,PATROLLING,1369.0
48863,CALCULATING_PATH,198.0
51039,PATROLLING,2176.0
51199,CALCULATING_PATH,160.0
53606,PATROLLING,2407.0
53756,CALCULATING_PATH,150.0
53849,PATROLLING,93.0
53931,CALCULATING_PATH,82.0
54037,TRANSFER_TO_FIRING,106.0
58288,FIRING,4251.0
58398,PATROLLING,99.0
58599,CALCULATING_PATH,201.0
61636,RETURNING_TO_HQ,3037.0
62438,FIRING,802.0
62470,PATROLLING,32.0
62562,CALCULATING_PATH,92.0
62696,TRANSFER_TO_FIRING,134.0
67094,FIRING,4398.0
67147,PATROLLING,53.0
67231,CALCULATING_PATH,71.0
69502,RETURNING_TO_HQ,2271.0
70518,INTERVENTION,1016.0
70629,CALCULATING_PATH,111.0
71053,PATROLLING,424.0
71140,CALCULATING_PATH,87.0
71350,TRANSFER_TO_INTERVENTION,210.0
73129,INTERVENTION,1779.0
77528,FIRING,4399.0
77583,PATROLLING,55.0
77697,CALCULATING_PATH,114.0
78422,PATROLLING,725.0
78502,CALCULATING_PATH,80.0
78626,TRANSFER_TO_INTERVENTION,124.0
79205,INTERVENTION,579.0
82816,FIRING,3611.0
82860,PATROLLING,44.0
82965,CALCULATING_PATH,105.0
84645,PATROLLING,1680.0
84726,CALCULATING_PATH,81.0
85366,PATROLLING,640.0
85455,CALCULATING_PATH,89.0
85752,TRANSFER_TO_INTERVENTION,297.0
85820,INTERVENTION,68.0
