"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
3790,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,4,1,1,1,"3476,5945619343183",0
4031,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,3,1,1,1,"2689,224666657978",0
4131,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,4,1,1,1,"3351,483450526622",0
4135,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,4,2,1,1,"3437,242504604421",0
4247,602984da-c0e0-4e84-8df4-0e5ba9a6c068,Charlottenburg-Wilmersdorf,NotSafe,4,2,2,1,"1873,7207964792171",0
4249,4fe4d16a-f6cd-4153-8602-520c6914215f,Tempelhof-Schöneberg,NotSafe,3,1,2,1,"3356,81226895605",0
4513,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,4,2,1,1,"3560,647130489197",0
4969,f15891e5-24e6-40df-a5a9-c4db70fd062c,Neukölln,NotSafe,2,1,1,1,"1516,253707852892",0
5651,a36b98be-3def-4e4d-bf3f-df4d79a40d03,Reinickendorf,RatherSafe,4,3,1,1,"3564,731359888593",0
6406,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,5,1,2,2,"3744,048785466529",0
6436,b4d878ca-fe7d-446c-8c96-511310a98272,Neukölln,NotSafe,5,1,4,2,"5537,314399867285",0
7704,d61aa43e-84ce-4e1d-9ad6-b892cfaf4ed3,Charlottenburg-Wilmersdorf,NotSafe,3,1,2,2,"4174,459441462073",0
9598,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,3,1,1,1,"2591,3422104367282",0
9661,5a3b2f2e-8769-4748-b8ab-42ec4d478b83,Spandau,NotSafe,3,1,2,1,"3483,2828254369488",0
10556,98d64a87-f5ea-40af-9ef3-e4e1511ba456,Tempelhof-Schöneberg,NotSafe,3,1,1,1,"553,3277592674694",0
