"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
91,Chyszów,RatherSafe,3bc25330-4842-4707-accf-f83f7c584371, ,PATROLLING,0
92,Chyszów,RatherSafe,778f20a8-90f9-4f5d-b541-e649c7da0361, ,PATROLLING,0
93,Chyszów,RatherSafe,dfe8a901-b87e-4bec-ba9f-6895cb0c0ef5, ,PATROLLING,0
93,Chyszów,RatherSafe,a095d9b0-ee23-41a3-9fca-2b64c2f30edb, ,PATROLLING,0
98,Chyszów,RatherSafe,1bba6b78-6e87-4ac2-af95-521aae1a9119, ,PATROLLING,0
98,Chyszów,RatherSafe,b0060d32-19a6-4a04-9284-25117f187b93, ,PATROLLING,0
98,Chyszów,RatherSafe,290fdaf5-4979-4299-bce9-775dd8896ff2, ,PATROLLING,0
99,Chyszów,RatherSafe,01e81a9f-1fbb-4673-ae7e-7e8033c1f532, ,PATROLLING,0
116,Chyszów,RatherSafe,16d1d618-260d-4dea-bef2-4788fae28f41, ,PATROLLING,0
117,Chyszów,RatherSafe,a5ec5539-d416-4148-b3b3-19ceb503d174, ,PATROLLING,0
117,Chyszów,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c, ,PATROLLING,0
117,Chyszów,RatherSafe,f4220692-1c5a-4ca8-9531-8f44400157e9, ,PATROLLING,0
117,Chyszów,RatherSafe,31c65021-34aa-46c9-baf5-d7038b17c110, ,PATROLLING,0
118,Chyszów,RatherSafe,e0e983f8-092c-4258-bc77-d5532af30d9c, ,PATROLLING,0
118,Chyszów,RatherSafe,387ac5e5-3058-4caf-baf4-2f97c42ce070, ,PATROLLING,0
118,Chyszów,RatherSafe,6ee5c357-9588-4493-89a4-337068bbaee8, ,PATROLLING,0
118,Chyszów,RatherSafe,5179091e-caa1-4468-99bb-f1e06f2d3b06, ,PATROLLING,0
118,Chyszów,RatherSafe,3919edbe-d3d8-489d-b39f-0ebe1dd25221, ,PATROLLING,0
119,Chyszów,RatherSafe,41488dc4-32dd-442b-92a6-ccc4613c85dc, ,PATROLLING,0
119,Chyszów,RatherSafe,f2b7d762-72a4-444a-aeaa-e18bde2ea5c1, ,PATROLLING,0
119,Chyszów,RatherSafe,ea1ed3a8-1352-4a5a-83f4-f93c66da5012, ,PATROLLING,0
119,Chyszów,RatherSafe,76cc6964-facf-41a3-8a8c-6333218ebde6, ,PATROLLING,0
120,Chyszów,RatherSafe,9eabec3d-1ddb-4c81-8458-adf69165e647, ,PATROLLING,0
120,Chyszów,RatherSafe,354535a8-fe1d-40d3-8730-a8ed1404386c, ,PATROLLING,0
120,Chyszów,RatherSafe,fc042ca5-9bf0-4b42-992c-c0ae59111870, ,PATROLLING,0
120,Chyszów,RatherSafe,1f2e9115-7340-4db3-96b0-0cb0e4c43d22, ,PATROLLING,0
121,Chyszów,RatherSafe,f6d2bb45-3dc0-42f3-a752-f80ca2b75f4e, ,PATROLLING,0
121,Chyszów,RatherSafe,fa1a07ac-8ccc-435d-9baa-99dcd5bb6867, ,PATROLLING,0
121,Chyszów,RatherSafe,d3f3f37f-c0ac-4840-b1af-6668e3c59e3d, ,PATROLLING,0
121,Chyszów,RatherSafe,8357582c-4d97-4849-b7c3-51a1752e951c, ,PATROLLING,0
121,Chyszów,RatherSafe,ed2e5a33-e543-46a5-aa50-14c2ad3ffaa1, ,PATROLLING,0
122,Chyszów,RatherSafe,9f6927b1-a150-46a9-b92c-9e683a4b6c44, ,PATROLLING,0
126,Chyszów,RatherSafe,93d54f18-dfb3-4e0c-ade6-112e8f143b30, ,PATROLLING,0
126,Chyszów,RatherSafe,dac8de60-67e3-4e05-93e5-8a2c4be3939f, ,PATROLLING,0
127,Chyszów,RatherSafe,0908f2a1-ef55-4789-9e69-23116ff4a0d8, ,PATROLLING,0
127,Chyszów,RatherSafe,60bf129c-450c-4da3-9bbe-69ce3e95bea0, ,PATROLLING,0
127,Chyszów,RatherSafe,ccd3cead-9852-460a-827e-5340fcbbe587, ,PATROLLING,0
127,Chyszów,RatherSafe,3d423241-3201-43ac-91d9-9d858ea98f46, ,PATROLLING,0
128,Chyszów,RatherSafe,5920686d-8cc5-4da4-9672-060491949f0d, ,PATROLLING,0
128,Chyszów,RatherSafe,9926d94c-50c1-4f4e-a6ea-715beba68d9c, ,PATROLLING,0
235,Chyszów,RatherSafe,3bc25330-4842-4707-accf-f83f7c584371,PATROLLING,TRANSFER_TO_INTERVENTION,0
258,Chyszów,RatherSafe,3bc25330-4842-4707-accf-f83f7c584371,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
287,Chyszów,RatherSafe,778f20a8-90f9-4f5d-b541-e649c7da0361,PATROLLING,TRANSFER_TO_INTERVENTION,0
291,Chyszów,RatherSafe,778f20a8-90f9-4f5d-b541-e649c7da0361,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
293,Chyszów,RatherSafe,3bc25330-4842-4707-accf-f83f7c584371,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
316,Chyszów,RatherSafe,dfe8a901-b87e-4bec-ba9f-6895cb0c0ef5,PATROLLING,CALCULATING_PATH,0
321,Chyszów,RatherSafe,a095d9b0-ee23-41a3-9fca-2b64c2f30edb,PATROLLING,CALCULATING_PATH,0
322,Chyszów,RatherSafe,1bba6b78-6e87-4ac2-af95-521aae1a9119,PATROLLING,CALCULATING_PATH,0
323,Chyszów,RatherSafe,b0060d32-19a6-4a04-9284-25117f187b93,PATROLLING,CALCULATING_PATH,0
323,Chyszów,RatherSafe,290fdaf5-4979-4299-bce9-775dd8896ff2,PATROLLING,CALCULATING_PATH,0
390,Chyszów,RatherSafe,01e81a9f-1fbb-4673-ae7e-7e8033c1f532,PATROLLING,CALCULATING_PATH,0
410,Chyszów,RatherSafe,16d1d618-260d-4dea-bef2-4788fae28f41,PATROLLING,CALCULATING_PATH,0
410,Chyszów,RatherSafe,a5ec5539-d416-4148-b3b3-19ceb503d174,PATROLLING,CALCULATING_PATH,0
415,Chyszów,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,PATROLLING,CALCULATING_PATH,0
415,Chyszów,RatherSafe,f4220692-1c5a-4ca8-9531-8f44400157e9,PATROLLING,CALCULATING_PATH,0
416,Chyszów,RatherSafe,31c65021-34aa-46c9-baf5-d7038b17c110,PATROLLING,CALCULATING_PATH,0
416,Chyszów,RatherSafe,e0e983f8-092c-4258-bc77-d5532af30d9c,PATROLLING,CALCULATING_PATH,0
417,Chyszów,RatherSafe,387ac5e5-3058-4caf-baf4-2f97c42ce070,PATROLLING,CALCULATING_PATH,0
417,Chyszów,RatherSafe,6ee5c357-9588-4493-89a4-337068bbaee8,PATROLLING,CALCULATING_PATH,0
417,Chyszów,RatherSafe,5179091e-caa1-4468-99bb-f1e06f2d3b06,PATROLLING,CALCULATING_PATH,0
418,Chyszów,RatherSafe,3919edbe-d3d8-489d-b39f-0ebe1dd25221,PATROLLING,CALCULATING_PATH,0
418,Chyszów,RatherSafe,41488dc4-32dd-442b-92a6-ccc4613c85dc,PATROLLING,CALCULATING_PATH,0
418,Chyszów,RatherSafe,f2b7d762-72a4-444a-aeaa-e18bde2ea5c1,PATROLLING,CALCULATING_PATH,0
419,Chyszów,RatherSafe,ea1ed3a8-1352-4a5a-83f4-f93c66da5012,PATROLLING,CALCULATING_PATH,0
419,Chyszów,RatherSafe,76cc6964-facf-41a3-8a8c-6333218ebde6,PATROLLING,CALCULATING_PATH,0
419,Chyszów,RatherSafe,9eabec3d-1ddb-4c81-8458-adf69165e647,PATROLLING,CALCULATING_PATH,0
420,Chyszów,RatherSafe,354535a8-fe1d-40d3-8730-a8ed1404386c,PATROLLING,CALCULATING_PATH,0
424,Chyszów,RatherSafe,fc042ca5-9bf0-4b42-992c-c0ae59111870,PATROLLING,CALCULATING_PATH,0
425,Chyszów,RatherSafe,1f2e9115-7340-4db3-96b0-0cb0e4c43d22,PATROLLING,CALCULATING_PATH,0
429,Chyszów,RatherSafe,f6d2bb45-3dc0-42f3-a752-f80ca2b75f4e,PATROLLING,CALCULATING_PATH,0
430,Chyszów,RatherSafe,fa1a07ac-8ccc-435d-9baa-99dcd5bb6867,PATROLLING,CALCULATING_PATH,0
430,Chyszów,RatherSafe,d3f3f37f-c0ac-4840-b1af-6668e3c59e3d,PATROLLING,CALCULATING_PATH,0
431,Chyszów,RatherSafe,8357582c-4d97-4849-b7c3-51a1752e951c,PATROLLING,CALCULATING_PATH,0
431,Chyszów,RatherSafe,ed2e5a33-e543-46a5-aa50-14c2ad3ffaa1,PATROLLING,CALCULATING_PATH,0
431,Chyszów,RatherSafe,9f6927b1-a150-46a9-b92c-9e683a4b6c44,PATROLLING,CALCULATING_PATH,0
431,Chyszów,RatherSafe,93d54f18-dfb3-4e0c-ade6-112e8f143b30,PATROLLING,CALCULATING_PATH,0
431,Chyszów,RatherSafe,dac8de60-67e3-4e05-93e5-8a2c4be3939f,PATROLLING,CALCULATING_PATH,0
432,Chyszów,RatherSafe,0908f2a1-ef55-4789-9e69-23116ff4a0d8,PATROLLING,CALCULATING_PATH,0
432,Chyszów,RatherSafe,60bf129c-450c-4da3-9bbe-69ce3e95bea0,PATROLLING,CALCULATING_PATH,0
432,Chyszów,RatherSafe,ccd3cead-9852-460a-827e-5340fcbbe587,PATROLLING,CALCULATING_PATH,0
432,Chyszów,RatherSafe,3d423241-3201-43ac-91d9-9d858ea98f46,PATROLLING,CALCULATING_PATH,0
433,Chyszów,RatherSafe,5920686d-8cc5-4da4-9672-060491949f0d,PATROLLING,CALCULATING_PATH,0
433,Chyszów,RatherSafe,9926d94c-50c1-4f4e-a6ea-715beba68d9c,PATROLLING,CALCULATING_PATH,0
454,Grabówka,RatherSafe,3bc25330-4842-4707-accf-f83f7c584371,TRANSFER_TO_INTERVENTION,INTERVENTION,0
454,Chyszów,RatherSafe,778f20a8-90f9-4f5d-b541-e649c7da0361,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
470,Chyszów,RatherSafe,dfe8a901-b87e-4bec-ba9f-6895cb0c0ef5,CALCULATING_PATH,PATROLLING,0
470,Chyszów,RatherSafe,a095d9b0-ee23-41a3-9fca-2b64c2f30edb,CALCULATING_PATH,PATROLLING,0
470,Chyszów,RatherSafe,1bba6b78-6e87-4ac2-af95-521aae1a9119,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,b0060d32-19a6-4a04-9284-25117f187b93,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,290fdaf5-4979-4299-bce9-775dd8896ff2,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,01e81a9f-1fbb-4673-ae7e-7e8033c1f532,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,16d1d618-260d-4dea-bef2-4788fae28f41,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,a5ec5539-d416-4148-b3b3-19ceb503d174,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,e9b36c99-697c-40c7-b401-7ae19db9e11c,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,f4220692-1c5a-4ca8-9531-8f44400157e9,CALCULATING_PATH,PATROLLING,0
471,Chyszów,RatherSafe,31c65021-34aa-46c9-baf5-d7038b17c110,CALCULATING_PATH,PATROLLING,0
473,Chyszów,RatherSafe,e0e983f8-092c-4258-bc77-d5532af30d9c,CALCULATING_PATH,PATROLLING,0
473,Chyszów,RatherSafe,387ac5e5-3058-4caf-baf4-2f97c42ce070,CALCULATING_PATH,PATROLLING,0
474,Chyszów,RatherSafe,6ee5c357-9588-4493-89a4-337068bbaee8,CALCULATING_PATH,PATROLLING,0
474,Chyszów,RatherSafe,5179091e-caa1-4468-99bb-f1e06f2d3b06,CALCULATING_PATH,PATROLLING,0
474,Chyszów,RatherSafe,3919edbe-d3d8-489d-b39f-0ebe1dd25221,CALCULATING_PATH,PATROLLING,0
474,Chyszów,RatherSafe,41488dc4-32dd-442b-92a6-ccc4613c85dc,CALCULATING_PATH,PATROLLING,0
