"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
1837,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,"3090,8539790455325",139.08842905704896
3995,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,"2762,7878576993894",124.32545359647253
4755,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,"2479,2509358681014",111.56629211406457
5381,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,"3306,1971438737496",148.77887147431875
5956,fc0507b8-da80-4c57-9416-8a3310e78675,Koszyce,RatherSafe,"4825,695032890312",217.15627648006407
9439,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,"3108,9126627499327",139.90106982374698
9868,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"1146,7859563206355",51.6053680344286
11776,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,"5095,848297495219",229.31317338728488
12785,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,"2950,3749180993946",132.76687131447275
12892,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,"4797,4668201526465",215.8860069068691
13013,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,"5528,825117571251",248.79713029070632
15009,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,"3036,7636486003366",136.65436418701515
15265,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,"3618,6328864916863",162.8384798921259
15366,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2105,0126542702187",94.72556944215985
16579,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"3602,65313209064",162.11939094407882
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"3954,8949167452374",177.97027125353569
20390,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"2589,756566580666",116.53904549612997
20814,c2ff0e76-554a-46ed-813e-5c96dfa4e147,Strusina,RatherSafe,"2759,823960034607",124.19207820155731
21414,865521cf-dbf8-4d92-8ec4-5072ad7542d1,Krakowska,RatherSafe,"3596,6921473675484",161.85114663153968
