"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
1797,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,5,1,2,2,"1638,1996274211804",0
1800,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,5,1,3,1,"1536,6247695343127",0
1852,4eff1907-6d10-4726-85b3-ce3e30de4861,Krzy¿,NotSafe,5,1,4,1,"1647,900778572955",0
3995,96227c0a-d7c0-4d65-9965-f976e6cad625,Krzy¿,NotSafe,3,1,2,2,"1717,9084894079535",0
4754,2698993f-b74a-4715-925e-6911d15c5e75,Jasna,RatherSafe,3,1,4,4,"3766,47460836713",0
5381,bb0e8683-4cfd-42b0-a8eb-78c2a200ffb7,Grabówka,RatherSafe,4,1,5,5,"3405,3778070171998",0
9439,5ca44c7c-ecf3-4199-a1f8-443e81dc622d,Strusina,RatherSafe,3,1,6,6,"3196,0353752592773",0
9865,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,5,1,1,1,"261,2958551316004",0
9868,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,5,1,6,5,"8445,075037837934",0
11776,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,3,1,4,4,"5378,054655622211",0
12785,fbae4943-8e4b-4d40-b230-f3663bba4f55,Starówka,RatherSafe,4,1,4,4,"1806,0236968491813",0
12889,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,5,1,1,1,"861,52688493998",0
12892,7e6c4f43-4d74-4e4c-b12e-4ad9207a36c6,Koszyce,RatherSafe,5,1,7,6,"10104,439807367087",0
13013,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,3,1,1,1,"2020,2061185849186",0
13028,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,3,1,9,8,"24383,85522090313",0
15008,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,3,1,2,2,"629,0565935071133",0
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,4,1,1,1,"996,2608134022773",0
15265,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,4,1,3,2,"4254,816979973152",0
15363,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,4,1,1,1,"1331,728083288893",0
15366,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,4,1,7,6,"17397,824854491097",0
16579,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,4,1,2,2,"1455,9466637707278",0
16592,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,4,1,7,5,"8945,47136953576",0
16678,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,4,1,1,1,"678,2339035372656",0
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,4,1,6,5,"9558,53467785474",0
20390,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,3,1,7,7,"6119,356122878007",0
