"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3601,1649.0,49.0
7201,3851.2,104.1
10801,6596.666666666667,179.5
14401,3489.8,90.3
18001,2981.0,77.83333333333333
21600,532.875,12.875
25200,1243.875,33.125
28802,851.3333333333334,23.666666666666668
32400,0.0,0.0
36000,1291.5,32.25
39602,932.6111111111111,24.555555555555557
43201,4416.0,112.0
46801,1042.75,20.25
50400,0.0,0.0
54000,706.6666666666666,18.5
57600,762.8,19.9
61200,0.0,0.0
64800,612.8,16.6
68400,799.9375,19.875
72000,1220.0,31.0
75600,640.8,17.3
79200,406.125,11.375
82802,0.0,0.0
