"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"10,26,22,5,4,0,0"
"24,23,23,11,11,0,0"
"15,26,21,11,12,0,0"
"26,23,28,16,13,0,0"
"13,24,22,17,16,0,0"
"25,29,24,10,7,0,0"
"22,24,24,7,9,0,0"
"17,24,24,10,10,0,0"
"27,35,35,9,4,40,0"
"35,36,33,4,4,0,0"
"24,30,27,20,16,1,0"
"16,27,23,8,12,0,0"
"29,23,25,6,3,0,1"
"22,32,30,10,9,0,0"
"22,23,21,7,6,0,0"
"17,22,21,19,16,0,0"
"27,35,33,26,22,31,0"
"18,29,28,17,13,8,0"
"23,33,32,17,11,0,0"
"26,28,25,15,12,4,0"
"22,33,26,27,26,0,0"
"23,29,26,12,10,0,0"
"22,27,27,8,6,0,0"
