"simulationTime[s]","firingID","districtName","districtSafetyLevel","revokedPatrols","isNight"
13055,143de4e4-d9d5-4c96-8605-55471101e5cb,£agiewniki-Borek Fa³êcki,RatherSafe,2,0
14174,ff00ed06-392c-41db-b05e-0d6f771bbbed,Zwierzyniec,NotSafe,1,0
17896,080e0710-241c-4b81-b9ff-7548bbe821d3,Dêbniki,NotSafe,1,0
24244,3b07ec54-9e81-41c2-990d-9f2eae779229,Podgórze,RatherSafe,1,0
31490,81c3e7bc-2ac4-42d8-86de-ed8619b621c8,Grzegórzki,NotSafe,5,0
44350,65632bd1-4427-42ce-a011-a4bae074f5e8,Pr¹dnik Czerwony,NotSafe,1,0
45991,aa0812fb-d748-4277-a1da-47309bfb8b7f,Bie¿anów-Prokocim,RatherSafe,2,0
48253,5145090d-e9e2-4de0-a34d-c53e6d8c2126,Dêbniki,NotSafe,1,0
52903,5e070704-16d4-45b4-a783-27ac35103ae1,Zwierzyniec,NotSafe,1,0
57561,9c56d87a-4168-49ee-a6bb-6e7d23bab396,Dêbniki,NotSafe,3,0
58965,ce8db04b-1829-4a59-a146-71bb51edfcda,Dêbniki,NotSafe,1,1
60630,808c7671-a0ff-47c1-876c-21aedead7bdd,Grzegórzki,NotSafe,3,1
61705,8be33fdf-8520-494f-bbe4-20747d44a6c3,Dêbniki,NotSafe,1,1
62519,c5c60e60-7cdb-4cf4-80a5-199d9e0ef91b,Pr¹dnik Czerwony,NotSafe,3,1
65006,d3e0f72a-b915-4508-bd74-5715bd488bb1,Pr¹dnik Bia³y,RatherSafe,3,1
65308,f25de2c3-d60d-4229-957c-76dd7be39c1f,Stare Miasto,RatherSafe,3,1
69385,d3805bf8-f473-476a-89ab-b8ed6ef796fa,Grzegórzki,NotSafe,2,1
75228,46c4a29f-d744-4c49-b13b-8e1e60ddf7b3,Bronowice,RatherSafe,2,1
76509,02f4c433-2cbd-445c-9f7c-6bdf75a8f44f,Zwierzyniec,NotSafe,2,1
81729,386823ea-188c-483a-a9a5-4b5b5b4fd2c1,Dêbniki,NotSafe,2,1
83226,cfc980dd-03fc-45a1-84a3-8caff3c9dd65,Grzegórzki,NotSafe,4,1
