"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
2067,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,2,1,3,3,"1728,4020131549971",0
3343,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,4,1,7,7,"5273,234475823359",0
3914,9756ae4b-d7e6-4263-894a-c2d975ce44f4,Zielone,RatherSafe,2,1,1,1,"1169,591767467443",0
6440,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,2,1,7,7,"4206,058675333243",0
7147,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,3,1,7,7,"5051,048641126047",0
7627,e151e0c2-6b33-4921-ad1c-55f9fbba34f1,Strusina,NotSafe,4,1,2,2,"1922,0306704650895",0
7628,e151e0c2-6b33-4921-ad1c-55f9fbba34f1,Strusina,NotSafe,4,1,3,1,"721,3150036435201",0
8380,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,4,1,4,4,"3158,6711671957846",0
9798,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,3,1,1,1,"696,5319382769144",0
9799,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,3,1,3,2,"5863,897206729454",0
11515,3d864e58-f9d2-42a5-85a3-f472903ae930,Jasna,RatherSafe,2,1,1,1,"1105,3644187418506",0
12644,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,6,1,2,2,"1932,7994448544164",0
12646,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,6,1,6,4,"7952,562217487057",0
12762,81d52757-8047-4431-aead-dc9528e94d3d,Moœcice,RatherSafe,4,1,1,1,"920,2488000827373",0
12764,81d52757-8047-4431-aead-dc9528e94d3d,Moœcice,RatherSafe,4,1,4,3,"4359,132430080066",0
13645,14d809a2-1fdb-45cc-a9cc-452f33adbbc0,Legionów Henryka D¹browskiego,NotSafe,4,1,1,1,"866,5504040534346",0
13647,14d809a2-1fdb-45cc-a9cc-452f33adbbc0,Legionów Henryka D¹browskiego,NotSafe,4,1,5,4,"7100,685774842402",0
19193,8413ebf3-fa0a-4041-9218-4eec7c43fdf3,Zielone,RatherSafe,5,1,2,2,"1157,7952709221422",0
19208,8413ebf3-fa0a-4041-9218-4eec7c43fdf3,Zielone,RatherSafe,5,1,11,9,"16515,816990343148",0
23452,12f426e8-a840-48cf-bc77-c36ec94c2713,Krzy¿,NotSafe,5,1,1,1,"813,0689140677051",0
23455,12f426e8-a840-48cf-bc77-c36ec94c2713,Krzy¿,NotSafe,5,1,6,5,"8697,507793774972",0
23810,84f6564f-b07e-43fd-aca7-561b17535767,Gumniska-Zab³ocie,RatherSafe,3,1,4,4,"3956,9166731899845",0
24921,e6bb2c3d-5a2e-4a4e-801b-db465f17ab5b,Krzy¿,NotSafe,5,1,7,7,"4674,955315896379",0
25899,ea813c96-46ee-4374-9772-7bf744a2cd12,Klikowa,RatherSafe,2,1,1,1,"573,6601194376909",0
27543,f724972e-62c0-4f12-be67-931b1df93897,Chyszów,RatherSafe,2,1,7,7,"13603,26898088732",0
28645,a0448ce4-f3f6-4b9c-b6f8-4a44f742ed1e,Krzy¿,NotSafe,5,1,1,1,"958,925955274248",0
28647,a0448ce4-f3f6-4b9c-b6f8-4a44f742ed1e,Krzy¿,NotSafe,5,1,4,3,"6492,041976122799",0
30591,036cae3e-beff-4ffb-b85e-2e226ab91d84,Krakowska,RatherSafe,5,1,9,9,"5552,521263413634",0
31393,55a2f021-297f-43bc-a388-915186f98789,Krzy¿,NotSafe,4,1,2,2,"4139,029006655377",0
31407,55a2f021-297f-43bc-a388-915186f98789,Krzy¿,NotSafe,4,1,7,5,"15558,31578084806",0
35503,a6b58dd1-7ad8-4a14-8b01-168f82b4e025,Strusina,NotSafe,2,1,1,1,"1189,5192075455998",0
36064,d816f563-960d-4cfc-9f70-2f95600073c2,Krzy¿,NotSafe,3,1,8,8,"6426,026908232214",0
37767,b1bf6c29-9d35-49a0-b218-fda8900b22ed,Legionów Henryka D¹browskiego,NotSafe,3,1,4,4,"3613,337834117005",0
41541,a1ff1e11-c6a7-479a-bd2f-3855b92e0c17,Krzy¿,NotSafe,4,1,2,2,"5633,053052678049",0
41542,a1ff1e11-c6a7-479a-bd2f-3855b92e0c17,Krzy¿,NotSafe,4,1,3,1,"2439,979785408466",0
41587,7462281b-2ead-4110-bb0b-93c0f441025e,Strusina,NotSafe,5,1,5,5,"3118,3548461440323",0
41813,d409e54b-058e-4983-be81-fa8a505cc8da,Westerplatte,RatherSafe,3,1,5,5,"8444,650335965684",0
42370,153a36b1-64c4-4b06-a7e7-87ec08226371,Zielone,RatherSafe,4,1,8,8,"15027,38788807996",0
47451,7d6f1778-2471-4662-a9a6-076cd9f50b1a,Gumniska-Zab³ocie,RatherSafe,4,1,1,1,"924,8254544280776",0
47452,7d6f1778-2471-4662-a9a6-076cd9f50b1a,Gumniska-Zab³ocie,RatherSafe,4,1,3,2,"4487,277371451923",0
49789,0e14121c-5612-4423-8934-0e9c8667aab3,Starówka,RatherSafe,5,1,8,8,"4798,98673614268",0
50221,844ffdba-7258-4d1a-8fbf-74bb7d177c93,Jasna,RatherSafe,2,1,3,3,"2629,9252302080436",0
50221,5f1d4ef2-c191-4af6-8edf-522737c46812,Krzy¿,NotSafe,3,1,1,1,"839,0693804694484",0
50235,5f1d4ef2-c191-4af6-8edf-522737c46812,Krzy¿,NotSafe,3,1,2,1,"2147,9469890356127",0
50840,340fd104-7467-4bd7-9f3c-65a07abef8e3,Moœcice,RatherSafe,4,1,1,1,"939,3492657619165",0
50841,340fd104-7467-4bd7-9f3c-65a07abef8e3,Moœcice,RatherSafe,4,1,2,1,"1516,4503394275462",0
50855,340fd104-7467-4bd7-9f3c-65a07abef8e3,Moœcice,RatherSafe,4,1,9,7,"21702,78088284852",0
52481,ed9f130c-d00b-4588-85ec-12103fb3d697,Gumniska-Zab³ocie,RatherSafe,4,1,1,1,"521,740109624653",0
52482,ed9f130c-d00b-4588-85ec-12103fb3d697,Gumniska-Zab³ocie,RatherSafe,4,1,3,2,"3927,854974715373",0
53338,f67bb3c3-f30d-4f6c-8e63-04faf5dcb813,Strusina,NotSafe,5,1,4,4,"5950,927561699463",0
53568,bcefd8b6-6d9f-4033-a92b-7fbd98fcc459,Grabówka,RatherSafe,4,1,9,9,"8142,051400514418",0
55285,e9833c53-4a25-48cc-bfb0-1c69c521400a,Legionów Henryka D¹browskiego,NotSafe,5,1,3,3,"2736,3952700983054",0
55285,e9833c53-4a25-48cc-bfb0-1c69c521400a,Legionów Henryka D¹browskiego,NotSafe,5,1,4,1,"974,6112778670308",0
56186,a3454f6a-5a0b-4546-80c3-398fd6468c6b,Westerplatte,RatherSafe,2,1,6,6,"10177,377679218753",0
58646,0c2b5936-779f-41b9-8566-bfffd25ac547,Krzy¿,NotSafe,6,1,1,1,"2087,583962623525",1
58649,0c2b5936-779f-41b9-8566-bfffd25ac547,Krzy¿,NotSafe,6,1,7,6,"16926,922303341737",1
60185,ef37375d-34f5-4c97-8878-9ca639ef7c8a,Legionów Henryka D¹browskiego,NotSafe,3,1,3,3,"2841,73013825891",1
60428,b736cfe2-be9a-4b78-9f9c-1234795c9446,Westerplatte,RatherSafe,3,1,1,1,"904,8198037698222",1
60428,b736cfe2-be9a-4b78-9f9c-1234795c9446,Westerplatte,RatherSafe,3,1,2,1,"2413,699608420122",1
61817,23552461-e89e-4996-9e3f-c57ad5f284ea,Starówka,RatherSafe,3,1,5,5,"1761,533609685223",1
62470,943cac7b-e347-49df-9394-133a763bf303,Legionów Henryka D¹browskiego,NotSafe,4,1,6,6,"5155,9409267070305",1
63028,ba0153bd-78de-457b-ac26-bd4b05d55e5b,Chyszów,RatherSafe,4,1,2,2,"1327,7540256397635",1
63028,ba0153bd-78de-457b-ac26-bd4b05d55e5b,Chyszów,RatherSafe,4,1,3,1,"2468,7324739156265",1
