"simulationTime[s]","firingID","districtName","districtSafetyLevel","revokedPatrols","isNight"
2126,9bfb9108-a000-4069-b362-c310d60324c9,Jasna,RatherSafe,2,0
3438,f08f968a-d784-413b-a35a-762c867059bd,Strusina,NotSafe,1,0
6464,9899e55c-8059-4d5e-b4c3-4107d97b89e4,Starówka,RatherSafe,6,0
7182,2b4544a1-b262-4801-a766-563307d92022,Legionów Henryka D¹browskiego,NotSafe,5,0
8444,9404de31-22e6-4dc1-a81c-b4ee2e8c2f9b,Strusina,NotSafe,1,0
9971,8ed62306-5691-4e49-b56f-9b2459b8d972,Westerplatte,RatherSafe,1,0
12788,e2e74c2e-355a-4783-89a9-43edd6c1c14f,Legionów Henryka D¹browskiego,NotSafe,1,0
12883,81d52757-8047-4431-aead-dc9528e94d3d,Moœcice,RatherSafe,1,0
13769,14d809a2-1fdb-45cc-a9cc-452f33adbbc0,Legionów Henryka D¹browskiego,NotSafe,1,0
19337,8413ebf3-fa0a-4041-9218-4eec7c43fdf3,Zielone,RatherSafe,5,0
23567,12f426e8-a840-48cf-bc77-c36ec94c2713,Krzy¿,NotSafe,2,0
23877,84f6564f-b07e-43fd-aca7-561b17535767,Gumniska-Zab³ocie,RatherSafe,2,0
24977,e6bb2c3d-5a2e-4a4e-801b-db465f17ab5b,Krzy¿,NotSafe,3,0
27631,f724972e-62c0-4f12-be67-931b1df93897,Chyszów,RatherSafe,6,0
30629,036cae3e-beff-4ffb-b85e-2e226ab91d84,Krakowska,RatherSafe,5,0
31570,55a2f021-297f-43bc-a388-915186f98789,Krzy¿,NotSafe,4,0
36110,d816f563-960d-4cfc-9f70-2f95600073c2,Krzy¿,NotSafe,5,0
37843,b1bf6c29-9d35-49a0-b218-fda8900b22ed,Legionów Henryka D¹browskiego,NotSafe,2,0
41642,7462281b-2ead-4110-bb0b-93c0f441025e,Strusina,NotSafe,1,0
41941,d409e54b-058e-4983-be81-fa8a505cc8da,Westerplatte,RatherSafe,3,0
42478,153a36b1-64c4-4b06-a7e7-87ec08226371,Zielone,RatherSafe,4,0
49823,0e14121c-5612-4423-8934-0e9c8667aab3,Starówka,RatherSafe,4,0
50278,844ffdba-7258-4d1a-8fbf-74bb7d177c93,Jasna,RatherSafe,2,0
51014,340fd104-7467-4bd7-9f3c-65a07abef8e3,Moœcice,RatherSafe,5,0
53645,bcefd8b6-6d9f-4033-a92b-7fbd98fcc459,Grabówka,RatherSafe,1,0
56260,a3454f6a-5a0b-4546-80c3-398fd6468c6b,Westerplatte,RatherSafe,5,0
58836,0c2b5936-779f-41b9-8566-bfffd25ac547,Krzy¿,NotSafe,1,1
61839,23552461-e89e-4996-9e3f-c57ad5f284ea,Starówka,RatherSafe,3,1
62527,943cac7b-e347-49df-9394-133a763bf303,Legionów Henryka D¹browskiego,NotSafe,3,1
63207,952c25b3-60fc-42b5-bbd9-64f70de6c960,Strusina,NotSafe,2,1
63463,59a0f81e-f42e-4039-99b0-dc31b60bd8c8,Legionów Henryka D¹browskiego,NotSafe,2,1
63935,233b8175-fcbe-496c-9b0a-d4d5c4aa5787,Starówka,RatherSafe,1,1
64645,4381b506-98dd-4bdd-9239-f5c32ff64c44,Strusina,NotSafe,1,1
67521,559b9e02-f754-4697-b0e7-a48bb6ac3814,Legionów Henryka D¹browskiego,NotSafe,7,1
68597,af359475-ec3e-4b86-b653-b1c89ae3648a,Legionów Henryka D¹browskiego,NotSafe,2,1
71327,1f6c4f5e-3f8d-4135-b9ed-b3fee5241dc9,Krzy¿,NotSafe,1,1
71568,cd743dd0-5ac3-4197-a985-b4ffcc89caf3,Legionów Henryka D¹browskiego,NotSafe,1,1
71854,2ddbd43b-b889-4137-9327-31429bda30a5,Gumniska-Zab³ocie,RatherSafe,4,1
71876,199f9176-cf25-46e3-88b1-c08799c29996,Strusina,NotSafe,3,1
73095,2e272b3c-8a20-4534-86df-781e2a39b20e,Grabówka,RatherSafe,7,1
76883,845a9bcd-e183-4ee4-875a-909fa979d41e,Klikowa,RatherSafe,1,1
78292,0a5ddd27-43b3-4e0d-bb1d-dc766478a3fd,Krzy¿,NotSafe,1,1
79211,839688fa-9ff7-497c-b364-889d1dbd6f6a,Klikowa,RatherSafe,4,1
82134,6c99f8ca-9e4d-462d-836c-549c2ebf4254,Westerplatte,RatherSafe,3,1
83526,10517965-2976-4dea-9856-df3739aaa1b6,Krzy¿,NotSafe,2,1
83670,b4103a46-92ae-47bb-8c42-660ed97473da,Koszyce,RatherSafe,2,1
85322,c4bddaf1-974e-45d8-a540-dd77d919e517,Zielone,RatherSafe,2,1
86181,45a024cf-f89e-4053-bf55-68d156b84687,Chyszów,RatherSafe,2,1
